issue_type,app_id,pub_id,publication_date,project_start_date,date_pub_raw,year_pub,details
publication_before_project_start,7155,464,2013-12-13,2014-06-01,2013-12-13,2013,excluded_from_panel_event_counts
publication_before_project_start,7155,465,2014-05-26,2014-06-01,2014-05-26,2014,excluded_from_panel_event_counts
publication_before_project_start,7155,509,2013-11-25,2014-06-01,2013-11-25,2013,excluded_from_panel_event_counts
after_main_complete_panel_window,11559,20334,2026-07-09,2016-04-30,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,12113,20451,2026-07-03,2015-08-01,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,15152,20271,2026-07-15,2016-01-01,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,15255,20404,2026-07-08,2016-05-01,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,15326,20260,2026-07-16,2015-10-03,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,15697,4564,2016-11-30,2017-06-01,2016-11-30,2016,excluded_from_panel_event_counts
after_main_complete_panel_window,16389,20421,2026-07-06,2015-12-01,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,17731,20292,2026-07-13,2017-01-24,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,17847,20332,2026-07-09,2016-02-05,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,17984,20291,2026-07-13,2016-03-01,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,20915,20467,2026-07-02,2017-02-01,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,23889,20383,2026-07-07,2016-11-28,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,24983,20470,2026-07-01,2017-02-16,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,25163,20465,2026-07-02,2017-02-05,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,25813,20362,2026-07-15,2018-03-21,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,26209,8462,2017-03-01,2017-05-15,2017-03-01,2017,excluded_from_panel_event_counts
after_main_complete_panel_window,27412,20280,2026-07-14,2017-04-21,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,27412,20402,2026-07-08,2017-04-21,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,29900,20269,2026-07-15,2017-08-01,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,32568,20420,2026-07-06,2015-12-01,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,33883,20315,2026-07-10,2019-02-22,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,34031,20449,2026-07-03,2018-04-06,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,41655,20381,2026-07-08,2019-04-26,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,41975,20473,2026-07-01,2018-11-02,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,44165,20316,2026-07-10,2018-11-26,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,44430,20436,2026-07-04,2019-07-04,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,45551,20319,2026-07-10,2019-12-17,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,47137,20434,2026-07-04,2019-02-13,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,47267,20289,2026-07-13,2019-03-25,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,47656,20334,2026-07-09,2021-03-09,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,48152,20337,2026-07-09,2019-06-18,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,49966,20422,2026-07-06,2019-05-29,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,51119,5435,2020-01-01,2020-03-29,2020-01-01,2020,excluded_from_panel_event_counts
publication_before_project_start,51119,5983,2020-01-01,2020-03-29,2020-01-01,2020,excluded_from_panel_event_counts
after_main_complete_panel_window,51119,20322,2026-07-10,2020-03-29,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,52632,20342,2026-07-09,2019-11-20,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,53641,20314,2026-07-10,2019-12-09,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,55005,20310,2026-07-11,2020-01-14,2026-07-11,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,55870,20311,2026-07-11,2020-03-02,2026-07-11,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,56483,20481,2026-07-01,2019-12-24,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,56514,20320,2026-07-10,2020-03-11,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,57947,20367,2026-07-13,2020-10-06,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,60651,20369,2026-07-13,2020-03-30,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,61083,20272,2026-07-15,2020-04-30,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,61083,20276,2026-07-15,2020-04-30,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,61083,20407,2026-07-08,2020-04-30,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,61856,20284,2026-07-14,2020-09-17,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,61856,20459,2026-07-02,2020-09-17,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,63454,20450,2026-07-03,2020-06-24,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,64426,20477,2026-07-01,2021-07-07,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,64689,4274,2021-06-15,2021-07-14,2021-06-15,2021,excluded_from_panel_event_counts
publication_before_project_start,64689,5279,2021-05-06,2021-07-14,2021-05-06,2021,excluded_from_panel_event_counts
after_main_complete_panel_window,66267,20312,2026-07-10,2021-01-27,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,66911,4125,2021-03-10,2021-05-13,2021-03-10,2021,excluded_from_panel_event_counts
after_main_complete_panel_window,67048,20277,2026-07-14,2021-04-22,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,67654,20361,2026-07-15,2022-02-28,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,67855,20487,2026-07-01,2021-05-28,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,68906,20472,2026-07-01,2021-04-07,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,69476,20331,2026-07-09,2021-03-30,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,69550,20413,2026-07-07,2021-02-02,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,70034,20264,2026-07-16,2021-05-19,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,70034,20326,2026-07-10,2021-05-19,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,71392,20300,2026-07-13,2023-03-03,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,71392,20463,2026-07-02,2023-03-03,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,75556,20324,2026-07-10,2021-12-08,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,75807,20489,2026-07-01,2021-12-08,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
