app_id,schema27_title,schema27_institution,schema27_pi,website_match_status,website_match_count,start_date,start_dates_all,website_url,website_urls_all,website_titles_all,match_methods
40001,Test application,UK Biobank Ltd,Ms Hazel Ford,unmatched_schema27,0,,,,,,
40541,Testing the extraction system,University of Oxford,Dr Alan Young,unmatched_schema27,0,,,,,,
40811,Dummy application for 6077,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
44955,Internal application for WGS main phase experimental design,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
47396,Dummy application for season accelerometer repeat,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
47995,Dummy application for 40310,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
48825,Exome verification,University of Oxford,Dr Alan Young,unmatched_schema27,0,,,,,,
48887,Internal application for long read sequencing,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
49380,Internal application for pilot analysis of pelvis and femurs,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
50016,Dummy application for biomarker data,University of Oxford,Mrs Megan Conroy,unmatched_schema27,0,,,,,,
50823,Dummy external application linked to phased application 4236,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
50945,Alan's 2nd test basket,University of Oxford,Dr Alan Young,unmatched_schema27,0,,,,,,
52229,Internal application for testing purposes,UK Biobank Ltd,Dr Mark Effingham,unmatched_schema27,0,,,,,,
52759,Dummy application for application 44219,University of Oxford,Mr Edward Horn,unmatched_schema27,0,,,,,,
54963,Dummy external application linked to phased application 52293,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
55938,Dummy external application - linked to phased application 788,University of Oxford,Dr Shelly Lachish,unmatched_schema27,0,,,,,,
57311,DA testing,University of Oxford,Mr Edward Horn,unmatched_schema27,0,,,,,,
58552,Dummy application for application number 56431 (Individual-level analysis on health risks associated with environmental exposures),University of Oxford,Mr Edward Horn,unmatched_schema27,0,,,,,,
58581,Internal project - AUGMENT,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
65058,UKB-DNAnexus Service Application,UK Biobank Ltd,Dr Alan Young,unmatched_schema27,0,,,,,,
65494,Dummy application for app 60481: Capturing the local environment and its relationship with health outcomes via geo-localized information extracted from satellite and map services,University of Oxford,Mr Edward Horn,unmatched_schema27,0,,,,,,
65879,Genes and neighbourhood characteristics (support for application #41382),University of Zurich,Dr Pietro Biroli,unmatched_schema27,0,,,,,,
66312,Shadow application for project 66251: The associations of various constituents of fine particulate matter and ozone air pollution with cardiorespiratory out,University of Oxford,Natasha Wood,unmatched_schema27,0,,,,,,
68250,Internal application for WGS samples,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
68444,Research Analysis Platform | Live Test Application 1 (Full Basket),UK Biobank Ltd,Caroline Clark,unmatched_schema27,0,,,,,,
68574,WGS Sample Identification and Access,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
68849,Research Analysis Platform | Live Test Application 1 (WGS only),UK Biobank Ltd,Caroline Clark,unmatched_schema27,0,,,,,,
69513,Association of COVID-19 related phenotypes using Whole Genome Sequencing data,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
72279,RAP Test Application | DNAnexus Small test application,UK Biobank Ltd,Caroline Clark,unmatched_schema27,0,,,,,,
72308,Dummy external application linked to phased application 59129,UK Biobank Ltd,Mr Howard Callen,unmatched_schema27,0,,,,,,
73700,Shadow external application linked to phased application 70291,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
74947,Internal application for Olink samples,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
77202,Development of training resources and example notebooks for RAP users,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
77772,Shadow application linked to phased application 73613,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
78626,Shadow application: Sample IDs for project 26104,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
78688,RAP | WES Preparation Application with DNAnexus,UK Biobank Ltd,Caroline Clark,unmatched_schema27,0,,,,,,
79339,WGS Vanguard Data for 200k Joint Call,UK Biobank Ltd,Dr Mark Effingham,unmatched_schema27,0,,,,,,
80154,Project for distribution of Olink data,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
81241,UK Biobank Internal Application - Availability of Parabricks within Research Analysis Platform,UK Biobank Ltd,Dr Mark Effingham,unmatched_schema27,0,,,,,,
81937,Shadow external application linked to phased application 74002,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
82471,Basket testing 23/11/21,UK Biobank Ltd,Ms Hazel Ford,unmatched_schema27,0,,,,,,
82767,WGS Unlinked 200+K Data | JOC Members | Internal,UK Biobank Ltd,Caroline Clark,unmatched_schema27,0,,,,,,
84277,"Shadow application for phased application 11730: ""The UK Biobank Urban Morphometric Platform -Deciphering associations of built environment morphometrics with individual health and lifestyle""",University of Oxford,Mr Edward Horn,unmatched_schema27,0,,,,,,
84462,Shadow application for scRNA-seq (69938): Samples,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
86782,Shadow application for scRNA-seq (69938): genotyping,UK Biobank Ltd,Dr Lucy Burkitt-Gray,unmatched_schema27,0,,,,,,
87238,Shadow external application linked to phased application 19542,UK Biobank Ltd,Mr Howard Callen,unmatched_schema27,0,,,,,,
87240,Shadow external application linked to phased application 52286,University of Oxford,Mr Howard Callen,unmatched_schema27,0,,,,,,
87744,Sample application for Melio Health study,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90561,testing,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90574,Test tier 3 Live,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90590,testing,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90601,CP test.,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90617,Test tier 2 live,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90629,testing,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90638,test,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
90854,Shadow external application linked to phased application 74910,University of Oxford,,unmatched_schema27,0,,,,,,
93282,Shadow external application linked to phased application 87728,University of Oxford,,unmatched_schema27,0,,,,,,
93670,Sample application for Regeneron RNA-seq pilot,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
93754,Sample application for neurobiomarkers - 76059,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
93945,RW data analyst test project,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
95200,Test of exome download and permissions,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
95840,Coronavirus Serology Study - relatives data,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
96684,Phased application for QC of cardiac monitoring data,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
97626,Project for re-badging LIMS data,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
99212,Internal application for sharing Regeneron RNA sequencing data,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
100424,RAP Test Application: Standard Tier 3,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
100513,Test Project,University of Oxford,,unmatched_schema27,0,,,,,,
100870,Re-calibration of cognitive performance scores from the picture vocabulary test (Category 504).,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
101078,Test - Tier 1 Application,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
102025,Shadow external application linked to application 78571 (MWS),UK Biobank Ltd,,unmatched_schema27,0,,,,,,
103285,Shadow external application linked to phased application 90535,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
103568,Student Test Application,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
103926,Test Tier 2 Application,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
105063,Test Tier LMIC Application,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
107498,3test3,UK Biobank Ltd,,unmatched_schema27,0,,,,,,
