page,index_on_page,start_date_text,start_date_datetime,title,url,institution,excerpt,counts_text
1,1,17 August 2026,2026-08-17 01:00:00,Prod Pen Test Tier 1,https://www.ukbiobank.ac.uk/projects/prod-pen-test-tier-1/,"UK Biobank Ltd, Great Britain",Prod Pen Test Tier 1,1 to 10 of 6936 results found
1,2,14 July 2026,2026-07-14 01:00:00,"Integrating Proteomics, Genomics, and Environmental Exposures to Decipher Mechanisms of Diabetic Retinopathy in the UK Biobank",https://www.ukbiobank.ac.uk/projects/integrating-proteomics-genomics-and-environmental-exposures-to-decipher-mechanisms-of-diabetic-retinopathy-in-the-uk-biobank/,"University of Cambridge, Great Britain","This study aims to elucidate the pathogenic mechanisms of Diabetic Retinopathy (DR) by integrating genomics, environmental exposures, and proteomics data, focusing on the interplay between…",1 to 10 of 6936 results found
1,3,21 April 2026,2026-04-21 01:00:00,Imaging-Omics Foundation Model of Systemic Health and Disease in UK Biobank,https://www.ukbiobank.ac.uk/projects/imaging-omics-foundation-model-of-systemic-health-and-disease-in-uk-biobank/,"German Cancer Research Center (DKFZ), Germany","Many common diseases, including cancer, cardiovascular and neurological diseases, arise from multi-scale biology spanning genes, cells, tissues and organs. Despite advances in omics and imaging,…",1 to 10 of 6936 results found
1,4,21 April 2026,2026-04-21 01:00:00,"Leveraging Causal Inference Methods to Identify Molecular Links of Vascular Disease, Cognition, ADRD and Survival",https://www.ukbiobank.ac.uk/projects/leveraging-causal-inference-methods-to-identify-molecular-links-of-vascular-disease-cognition-adrd-and-survival/,"University of Florida, United States of America",Our vascular and brain health are highly interrelated systems and are key routes for healthy aging. This research aims to identify biological pathways that are…,1 to 10 of 6936 results found
1,5,21 April 2026,2026-04-21 01:00:00,"Multi-Omics, Imaging and Clinical data Integration to Investigate the Determinants of Complex Musculoskeletal traits and their role in related diseases",https://www.ukbiobank.ac.uk/projects/multi-omics-imaging-and-clinical-data-integration-to-investigate-the-determinants-of-complex-musculoskeletal-traits-and-their-role-in-related-diseases/,"Aganitha Cognitive Solutions Private Limited, India","Musculoskeletal disorders (MSD) arise from complex interactions between ageing, genetics, environment and metabolism. Large resources like UK Biobank & its multimodal dataset-including longitudinal health records,…",1 to 10 of 6936 results found
1,6,20 April 2026,2026-04-20 01:00:00,Sex hormones levels in morbidity and mortality in the UK Biobank,https://www.ukbiobank.ac.uk/projects/sex-hormones-levels-in-morbidity-and-mortality-in-the-uk-biobank/,"National Cancer Institute, United States of America","Sex differences are observed across the spectrum of human disease, with the most dramatic differences seen for cancer (male predominance) and autoimmunity (female predominance). Variation…",1 to 10 of 6936 results found
1,7,20 April 2026,2026-04-20 01:00:00,To Assess the Risk of Mortality and Cardiorenal Events in the General Population and in People with Diabetes,https://www.ukbiobank.ac.uk/projects/to-assess-the-risk-of-mortality-and-cardiorenal-events-in-the-general-population-and-in-people-with-diabetes/,"Fondazione IRCCS Casa Sollievo della Sofferenza, Italy","Cardiorenal events are the leading cause of mortality worldwide, particularly in people with diabetes. Diabetes is a complex and heterogeneous disorder, characterized by diverse pathogenic…",1 to 10 of 6936 results found
1,8,20 April 2026,2026-04-20 01:00:00,Polygenic risk scores for cardiovascular disease,https://www.ukbiobank.ac.uk/projects/polygenic-risk-scores-for-cardiovascular-disease/,"Chung-Ang University, Korea (South)","Cardiovascular risk is traditionally assessed using chronological age, yet individuals of the same age exhibit strikingly different risks of cardiac death. This discrepancy suggests that…",1 to 10 of 6936 results found
1,9,20 April 2026,2026-04-20 01:00:00,Trajectory-Based Multimodal Risk Assessment of Type 2 Diabetes and Associated Cardiovascular and Neurological Outcomes,https://www.ukbiobank.ac.uk/projects/trajectory-based-multimodal-risk-assessment-of-type-2-diabetes-and-associated-cardiovascular-and-neurological-outcomes/,"SRM University-AP, India","Type 2 diabetes (T2D) is a complex metabolic disorder associated with an increased risk of cardiovascular disease (CVD) and neurological complications, including stroke and dementia.",1 to 10 of 6936 results found
1,10,17 April 2026,2026-04-17 01:00:00,"Predicting First-Time Stroke Risk Through Integration of Genetic, Clinical, and Lifestyle Factors",https://www.ukbiobank.ac.uk/projects/predicting-first-time-stroke-risk-through-integration-of-genetic-clinical-and-lifestyle-factors/,"Trinity College Dublin, Ireland","Stroke remains a leading cause of death and disability worldwide, yet current risk prediction tools often rely solely on clinical and lifestyle factors and do…",1 to 10 of 6936 results found
2,1,15 April 2026,2026-04-15 01:00:00,Multimodal investigation of Cardiovascular-Kidney-Metabolic (CKM) syndrome: neuro-metabolic axes and AI modelling,https://www.ukbiobank.ac.uk/projects/multimodal-investigation-of-cardiovascular-kidney-metabolic-ckm-syndrome-neuro-metabolic-axes-and-ai-modelling/,"The Second Affiliated Hospital, Chongqing Medical University, China","Background: Cardiovascular-Kidney-Metabolic (CKM) syndrome aggregates obesity, diabetes, hypertension, and renal dysfunction. Clinical outcomes depend on complex systemic interactions, yet current guidelines often treat these conditions…",11 to 20 of 6936 results found
2,2,15 April 2026,2026-04-15 01:00:00,High-Dimensional Deconvolution of the Plasma Proteome: Mapping Organ-Specific Aging Trajectories and Disease Risk,https://www.ukbiobank.ac.uk/projects/high-dimensional-deconvolution-of-the-plasma-proteome-mapping-organ-specific-aging-trajectories-and-disease-risk/,"University of Luxembourg, Luxembourg","Recent evidence shows that plasma proteome is a key connection between organ physiology, biological aging, and mortality. Circulating protein markers provide insight into organ-specific functional…",11 to 20 of 6936 results found
