role,quantity,parameter,stata_term,inference_source,estimate,std_error,p_value,ci_low,ci_high
interaction_coefficient,Intercept,beta0,_cons,Control-series regression,4.93014499,1.07160254,0.00000421,2.82980402,7.03048596
interaction_coefficient,Time,beta1,Time,Control-series regression,-0.11176321,0.03407186,0.00103726,-0.17854405,-0.04498237
interaction_coefficient,PostJuly2024,beta2,PostJuly2024,Control-series regression,3.24832488,1.87274396,0.08282463,-0.42225329,6.91890305
interaction_coefficient,TimeAfterJuly2024,beta3,TimeAfterJuly2024,Control-series regression,0.31247812,0.14096074,0.02663853,0.03619507,0.58876117
interaction_coefficient,Treated,delta0,Treated,Treatment-minus-Control difference regression,-0.56490025,1.24233112,0.64931797,-2.99986924,1.87006875
interaction_coefficient,Treated x Time,delta1,Treated x Time,Treatment-minus-Control difference regression,0.17866080,0.03946270,0.00000597,0.10131391,0.25600769
interaction_coefficient,Treated x PostJuly2024,delta2,Treated x PostJuly2024,Treatment-minus-Control difference regression,-4.54546259,1.61775880,0.00495833,-7.71626984,-1.37465533
interaction_coefficient,Treated x TimeAfterJuly2024,delta3,Treated x TimeAfterJuly2024,Treatment-minus-Control difference regression,0.16262145,0.09628964,0.09124281,-0.02610624,0.35134914
linear_combination,Control pre slope,control_pre_slope,,Newey-West HAC from the named component series,-0.11176321,0.03407186,0.00103726,-0.17854405,-0.04498237
linear_combination,Control post slope,control_post_slope,,Newey-West HAC from the named component series,0.20071491,0.13234815,0.12937591,-0.05868747,0.46011728
linear_combination,Control slope change,control_slope_change,,Newey-West HAC from the named component series,0.31247812,0.14096074,0.02663853,0.03619507,0.58876117
linear_combination,Treatment pre slope,treatment_pre_slope,,Newey-West HAC from the named component series,0.06689759,0.03984903,0.09319572,-0.01120650,0.14500168
linear_combination,Treatment post slope,treatment_post_slope,,Newey-West HAC from the named component series,0.54199715,0.10919844,0.00000069,0.32796821,0.75602609
linear_combination,Treatment slope change,treatment_slope_change,,Newey-West HAC from the named component series,0.47509957,0.12665997,0.00017614,0.22684602,0.72335311
linear_combination,Differential pre slope (delta1),delta1,,Newey-West HAC from the named component series,0.17866080,0.03946270,0.00000597,0.10131391,0.25600769
linear_combination,Differential immediate change (delta2),delta2,,Newey-West HAC from the named component series,-4.54546259,1.61775880,0.00495833,-7.71626984,-1.37465533
linear_combination,Differential slope change (delta3),delta3,,Newey-West HAC from the named component series,0.16262145,0.09628964,0.09124281,-0.02610624,0.35134914
