specification,control_definition,design,intervention_date,sample_start,sample_end,term,estimate,std_error,z,p_value,ci_low,ci_high,n_obs,k_params,df_resid,nw_lag,inference
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,Intercept,0.07196623,1.20901161,0.05952485,0.95253407,-2.29769652,2.44162899,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,Time,0.17344805,0.03908300,4.43794102,0.00000908,0.09684537,0.25005073,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,ArtificialLevel,-4.66365639,1.57286260,-2.96507553,0.00302609,-7.74646708,-1.58084571,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,ArtificialSlope,0.23133310,0.10003700,2.31247540,0.02075150,0.03526058,0.42740563,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_02,-1.26598129,1.25426172,-1.00934381,0.31280978,-3.72433426,1.19237167,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_03,0.86803741,1.60764824,0.53994238,0.58923677,-2.28295314,4.01902796,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_04,-1.99794388,2.05591592,-0.97180233,0.33114890,-6.02753909,2.03165133,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_05,-0.57058621,1.42609014,-0.40010529,0.68907897,-3.36572288,2.22455045,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_06,-3.80186754,1.89584120,-2.00537236,0.04492325,-7.51771630,-0.08601878,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_07,-1.86723477,1.26535702,-1.47565845,0.14003561,-4.34733452,0.61286498,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,month_08,-2.65634938,1.72096769,-1.54352078,0.12270447,-6.02944604,0.71674729,55,15,40,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
