specification,control_definition,design,intervention_date,sample_start,sample_end,pre_n,post_n,n_obs,k_params,df_resid,level,level_se,level_z,level_p,level_ci_low,level_ci_high,slope_change,slope_se,slope_z,slope_p,slope_ci_low,slope_ci_high,slope_p_holm,joint_wald,joint_p,joint_p_holm,nw_lag,inference
strict,Strict already-RAP-bound control proxy,actual_full,2024-07,2021-10,2026-04,33,22,55,15,40,-4.66365639,1.57286260,-2.96507553,0.00302609,-7.74646708,-1.58084571,0.23133310,0.10003700,2.31247540,0.02075150,0.03526058,0.42740563,,10.03999111,0.00660456,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-10,2021-10,2024-06,12,21,33,15,18,1.10173824,0.88856083,1.23991313,0.21500753,-0.63984099,2.84331748,-0.25766871,0.09520908,-2.70634600,0.00680281,-0.44427851,-0.07105892,0.00680281,21.61206211,0.00002028,0.00004056,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-11,2021-10,2024-06,13,20,33,15,18,-0.21154745,0.93058569,-0.22732721,0.82016931,-2.03549541,1.61240050,-0.33403460,0.07126889,-4.68696206,0.00000277,-0.47372163,-0.19434757,0.00001385,23.47449057,0.00000799,0.00002397,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,14,19,33,15,18,0.07368521,0.69649143,0.10579485,0.91574512,-1.29143799,1.43880841,-0.31176693,0.06776059,-4.60100657,0.00000420,-0.44457769,-0.17895617,0.00001680,21.23699196,0.00002446,0.00004056,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,15,18,33,15,18,0.64081907,0.49196529,1.30256968,0.19272172,-0.32343290,1.60507103,-0.30161128,0.06744933,-4.47167193,0.00000776,-0.43381197,-0.16941059,0.00002328,35.99078205,0.00000002,0.00000008,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-02,2021-10,2024-06,16,17,33,15,18,0.79671115,0.55520746,1.43497919,0.15129303,-0.29149547,1.88491777,-0.31585637,0.05688015,-5.55301593,0.00000003,-0.42734146,-0.20437128,0.00000018,48.42885558,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-03,2021-10,2024-06,17,16,33,15,18,0.80592628,0.74568023,1.08079340,0.27978902,-0.65560698,2.26745954,-0.33778201,0.05246234,-6.43856200,0.00000000,-0.44060820,-0.23495583,0.00000000,42.61001627,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-04,2021-10,2024-06,18,15,33,15,18,-0.61488755,0.59633058,-1.03111860,0.30248521,-1.78369547,0.55392038,-0.33031219,0.05197128,-6.35566786,0.00000000,-0.43217589,-0.22844848,0.00000000,41.64126054,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-05,2021-10,2024-06,19,14,33,15,18,-0.99290579,0.78121156,-1.27098194,0.20373507,-2.52408045,0.53826887,-0.31328036,0.05312972,-5.89651854,0.00000000,-0.41741461,-0.20914612,0.00000000,40.33734142,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-06,2021-10,2024-06,20,13,33,15,18,-0.57398317,0.62678728,-0.91575433,0.35979576,-1.80248624,0.65451990,-0.32819074,0.05625113,-5.83438444,0.00000001,-0.43844297,-0.21793852,0.00000007,42.37494291,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-07,2021-10,2024-06,21,12,33,15,18,-0.76175869,0.85392077,-0.89207186,0.37235441,-2.43544340,0.91192602,-0.32208589,0.08825661,-3.64942532,0.00026283,-0.49506884,-0.14910294,0.00052566,38.34801015,0.00000000,0.00000000,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-04,2021-10,2024-03,18,12,30,15,15,-0.38652482,0.65522397,-0.58991252,0.55524930,-1.67076380,0.89771416,-0.36170213,0.08080690,-4.47612906,0.00000760,-0.52008366,-0.20332060,0.00003040,21.93586073,0.00001725,0.00005175,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-05,2021-11,2024-04,18,12,30,15,15,-2.05477790,0.98551909,-2.08497017,0.03707201,-3.98639531,-0.12316049,-0.13213886,0.10218374,-1.29314958,0.19595933,-0.33241898,0.06814127,0.19595933,11.24365485,0.00361802,0.00361802,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-06,2021-12,2024-05,18,12,30,15,15,-0.32372154,0.88545032,-0.36560102,0.71466282,-2.05920417,1.41176110,-0.27323628,0.08840727,-3.09065413,0.00199716,-0.44651452,-0.09995804,0.00399432,13.59896746,0.00111435,0.00222870,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_18_12,2023-07,2022-01,2024-06,18,12,30,15,15,-0.77132325,0.87672489,-0.87977798,0.37897960,-2.48970405,0.94705754,-0.29675252,0.08795536,-3.37389932,0.00074111,-0.46914502,-0.12436002,0.00222333,27.85541702,0.00000089,0.00000356,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,actual_18_12,2024-07,2023-01,2025-06,18,12,30,15,15,-5.27622247,1.83909340,-2.86892578,0.00411868,-8.88084554,-1.67159940,0.73572228,0.22885679,3.21477156,0.00130548,0.28716298,1.18428158,,11.59656976,0.00303275,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,actual_full,2024-07,2021-10,2026-04,33,22,55,15,40,-4.54546259,1.61775880,-2.80972823,0.00495833,-7.71626984,-1.37465533,0.16262145,0.09628964,1.68887800,0.09124281,-0.02610624,0.35134914,,8.08973641,0.01751201,,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-10,2021-10,2024-06,12,21,33,15,18,1.88087935,0.82587183,2.27744702,0.02275954,0.26217055,3.49958814,-0.16564417,0.09762491,-1.69674077,0.08974568,-0.35698900,0.02570066,0.08974568,16.80044906,0.00022482,0.00067446,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-11,2021-10,2024-06,13,20,33,15,18,0.28915381,0.97233554,0.29738069,0.76617589,-1.61662385,2.19493147,-0.27933614,0.07853702,-3.55674488,0.00037548,-0.43326869,-0.12540358,0.00075096,14.15607118,0.00084343,0.00168686,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
broad,Broad sequence control proxy,placebo_all_pre,2022-12,2021-10,2024-06,14,19,33,15,18,0.45166477,0.80811468,0.55891173,0.57622196,-1.13224000,2.03556955,-0.27430950,0.07487871,-3.66338458,0.00024890,-0.42107176,-0.12754723,0.00074670,13.77106706,0.00102247,0.00168686,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
