specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,Intercept,3.31149733,0.54774597,6.04568085,0.00000000,2.23791522,4.38507943,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,Time,-0.10548500,0.02540239,-4.15256234,0.00003288,-0.15527368,-0.05569632,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,Treated,-0.78966132,0.86392366,-0.91404062,0.36069550,-2.48295169,0.90362905,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,Treated x Time,0.15541444,0.04762495,3.26329873,0.00110123,0.06206954,0.24875934,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_02,0.69444444,0.17392641,3.99274876,0.00006531,0.35354869,1.03534020,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_03,1.55555556,0.79191846,1.96428753,0.04949676,0.00339537,3.10771574,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_04,2.41666667,0.65722606,3.67707064,0.00023593,1.12850358,3.70482975,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_05,1.61111111,0.27280504,5.90572341,0.00000000,1.07641323,2.14580899,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_06,1.97222222,1.55010332,1.27231663,0.20326064,-1.06598028,5.01042473,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_07,0.75000000,0.21606041,3.47125147,0.00051804,0.32652161,1.17347839,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_08,1.77777778,0.46403848,3.83109991,0.00012757,0.86826236,2.68729320,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_09,2.55555556,0.23320882,10.95822861,0.00000000,2.09846627,3.01264484,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_10,0.08333333,0.36836710,0.22622361,0.82102751,-0.63866618,0.80533285,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_11,3.27777778,1.08046138,3.03368342,0.00241588,1.16007347,5.39548209,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
,new_cits_strict_pretrend_stacked,Independent pre-shock stacked comparative ITS,raw_count,raw,Treatment vs sequence control proxy,raw monthly project counts,month_12,0.80555556,0.34565819,2.33049755,0.01977987,0.12806551,1.48304560,66,0.43911229,,3,Calendar-month clustered Newey-West HAC (lag 3),2021-10 through 2024-06
