specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,Intercept,4.93014499,1.07160254,4.60072166,0.00000421,2.82980402,7.03048596,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,Time,-0.11176321,0.03407186,-3.28022053,0.00103726,-0.17854405,-0.04498237,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,PostJuly2024,3.24832488,1.87274396,1.73452695,0.08282463,-0.42225329,6.91890305,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,TimeAfterJuly2024,0.31247812,0.14096074,2.21677409,0.02663853,0.03619507,0.58876117,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_02,-0.21322804,1.00919642,-0.21128497,0.83266491,-2.19125302,1.76479695,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_03,0.17354393,1.05591602,0.16435391,0.86945254,-1.89605146,2.24313932,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_04,0.76031589,1.63280345,0.46565059,0.64146562,-2.43997887,3.96061065,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_05,-0.36757802,1.09079632,-0.33698135,0.73613096,-2.50553882,1.77038278,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_06,2.91606566,1.27836254,2.28109442,0.02254286,0.41047508,5.42165624,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
broad,new_cits_broad_raw_control,Control series,control_count,raw,sequence control proxy,raw monthly project counts,month_07,-0.86237188,1.20102498,-0.71802993,0.47273883,-3.21638084,1.49163708,55,0.50263604,2.88742874,3,OLS Newey-West HAC,2021-10 through 2026-04
