series_id,series_label,source_file,outcome_column,design,intervention_date,sample_start,sample_end,pre_n,post_n,n_obs,k_params,df_resid,pre_trend,pre_trend_se,pre_trend_z,pre_trend_p,pre_trend_ci_low,pre_trend_ci_high,level_change,level_se,level_z,level_p,level_ci_low,level_ci_high,level_p_holm,slope_change,slope_se,slope_z,slope_p,slope_ci_low,slope_ci_high,slope_p_holm,joint_wald,joint_p,joint_p_holm,month_of_year_fe,nw_lag,inference
treatment,Treatment only,monthly_strict.csv,treatment_count,actual_full,2024-07,2021-10,2026-04,33,22,55,15,40,0.06689759,0.03984903,1.67877594,0.09319572,-0.01120650,0.14500168,-1.29713771,1.26303104,-1.02700382,0.30441866,-3.77267855,1.17840313,,0.47509957,0.12665997,3.75098430,0.00017614,0.22684602,0.72335311,,14.77217500,0.00061982,,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2022-10,2021-10,2024-06,12,21,33,15,18,0.29425131,0.10652291,2.76232893,0.00573906,0.08546641,0.50303620,-0.18745740,0.99935542,-0.18757831,0.85120723,-2.14619402,1.77127923,1.00000000,-0.32004090,0.10219317,-3.13172498,0.00173783,-0.52033951,-0.11974229,0.00477444,13.43691852,0.00120840,0.00483360,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2022-11,2021-10,2024-06,13,20,33,15,18,0.27504091,0.06652498,4.13440050,0.00003559,0.14465195,0.40542987,-0.28810192,0.73100552,-0.39411729,0.69349445,-1.72087274,1.14466891,1.00000000,-0.30528284,0.07833499,-3.89714559,0.00009733,-0.45881941,-0.15174627,0.00087597,15.22897045,0.00049325,0.00394600,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2022-12,2021-10,2024-06,14,19,33,15,18,0.20023805,0.07603329,2.63355768,0.00844955,0.05121281,0.34926329,0.56214529,0.81205193,0.69225288,0.48877853,-1.02947649,2.15376707,1.00000000,-0.26636398,0.09161839,-2.90731999,0.00364540,-0.44593603,-0.08679193,0.00477444,11.69111800,0.00289272,0.00578544,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-01,2021-10,2024-06,15,18,33,15,18,0.20710250,0.05478573,3.78022683,0.00015669,0.09972246,0.31448253,0.30177912,0.67287969,0.44848897,0.65380034,-1.01706507,1.62062331,1.00000000,-0.27945619,0.08190091,-3.41212545,0.00064458,-0.43998198,-0.11893040,0.00350808,11.67503048,0.00291608,0.00578544,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-02,2021-10,2024-06,16,17,33,15,18,0.19980669,0.04604712,4.33917905,0.00001430,0.10955434,0.29005905,0.25945345,0.66240734,0.39168263,0.69529273,-1.03886493,1.55777183,1.00000000,-0.28614554,0.08321510,-3.43862520,0.00058468,-0.44924713,-0.12304394,0.00350808,12.56657562,0.00186725,0.00560175,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-03,2021-10,2024-06,17,16,33,15,18,0.19220686,0.04190332,4.58691300,0.00000450,0.11007636,0.27433736,0.23292024,0.65224725,0.35710421,0.72101379,-1.04548437,1.51132485,1.00000000,-0.29504290,0.08849596,-3.33397036,0.00085616,-0.46849497,-0.12159082,0.00350808,13.89334604,0.00096183,0.00480915,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-04,2021-10,2024-06,18,15,33,15,18,0.18419212,0.03959115,4.65235576,0.00000328,0.10659347,0.26179078,0.23178919,0.70699540,0.32785106,0.74302428,-1.15392178,1.61750017,1.00000000,-0.30765358,0.09743690,-3.15746466,0.00159148,-0.49862990,-0.11667725,0.00477444,14.94640766,0.00056811,0.00394600,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-05,2021-10,2024-06,19,14,33,15,18,0.15104364,0.04069953,3.71118863,0.00020629,0.07127256,0.23081472,1.07377980,0.65674475,1.63500324,0.10204837,-0.21343992,2.36099951,0.91843533,-0.35811578,0.09245945,-3.87321980,0.00010741,-0.53933630,-0.17689525,0.00087597,15.03993376,0.00054215,0.00394600,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
treatment,Treatment only,monthly_strict.csv,treatment_count,placebo_all_pre,2023-06,2021-10,2024-06,20,13,33,15,18,0.13082437,0.04227983,3.09425044,0.00197311,0.04795591,0.21369283,1.81907433,0.94265571,1.92973353,0.05363986,-0.02853086,3.66667952,0.53639860,-0.44950912,0.08893355,-5.05443799,0.00000043,-0.62381888,-0.27519936,0.00000430,25.75683268,0.00000255,0.00002550,Yes,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
