application_id,application_title,tier,best_matching_status,existing_curated_52,family_ids,repo_urls,evidence_type,confidence_note,included_in_tier_summary
10035,Risk factors and associated causal pathways linked to blood pressure,Tier 1,confirmed,yes,application_only_curated_app_10035,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,Tier 1,confirmed,yes,application_only_curated_app_10279,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",Tier 1,confirmed,yes,application_only_curated_app_12184,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
17984,Genotype-environment interactions and sub-classification of disease,Tier 1,probable,yes,family_divergence-pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,C; author/project/topic consistency plus public UKB project evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
19136,Lung Health: Genes and environment,Tier 1,confirmed,yes,application_only_curated_app_19136,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
19526,Phenomewide scan of gene level associations,Tier 1,confirmed,yes,family_anyajacobs_ukbiobank; family_genepy-2; family_ptrs-ukb,https://github.com/anyajacobs/UKBiobank; https://github.com/parsboy1987/GenePy-2; https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb,supporting identity/topic evidence; weak topic/path/data-type evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,Tier 1,confirmed,yes,family_genetic-survival-analysis-in-ukb; family_imds-wes; family_pain-proteomics,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB; https://github.com/jjrun-11/IMDs_WES; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/Frank-HQZ/Pain_Proteomics,supporting identity/topic evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A1_DIRECT_APP_ID; C; paper text/application chain to an existing baseline app,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
22224,Prospective studies of ageing and age-related diseases,Tier 1,confirmed,yes,application_only_curated_app_22224; family_ukb-bioage-cancer; family_ukb-tools,https://github.com/becomingcc/UKB_bioage_cancer; https://github.com/12sbxu/ukb-tools; https://github.com/magdazeb/ukb-tools,weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
23668,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,Tier 1,confirmed,yes,application_only_curated_app_23668,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
24247,Searching Identity-by-descent segments in biobank-scale cohorts,Tier 1,confirmed,yes,application_only_curated_app_24247,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
27837,Statistical Methods for Large Scale Genetic Studies,Tier 1,confirmed,yes,application_only_curated_app_27837,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,Tier 1,confirmed,yes,family_sas-sample-extraction; family_t2dm-ukb-predictions,https://github.com/samarpita-saha293/SAS_sample_extraction; https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/yochaiedlitz/T2DM_UKB_predictions,weak topic/path/data-type evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; A1_DIRECT_APP_ID,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,Tier 1,confirmed,yes,application_only_curated_app_30418; family_ukb-nmr-cvd-prediction; family_ukbpheno,https://github.com/YanLuoCityU/UKB_NMR_CVD_prediction; https://github.com/BakerMetabolomics/ukbpheno; https://github.com/kkukendrarajah/ukbpheno; https://github.com/magdazeb/ukbpheno; https://github.com/Neri0304/ukbpheno; https://github.com/stefanogg/ukbpheno; https://github.com/Tafelplankje/ukbpheno; https://github.com/yuehuang-gh/ukbpheno,weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
31063,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,Tier 1,confirmed,yes,application_only_curated_app_31063,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
33923,Genetic risk prediction and variance in diverse populations,Tier 1,confirmed,yes,application_only_curated_app_33923; family_diabetes-prediction; family_prs-height-admixed-populations; family_ukb-atherosclerosis-prediction; family_ukb-nmr-cvd-prediction,https://github.com/Haileygu99/diabetes_prediction; https://github.com/Shicheng-Guo/PRS_Height_Admixed_Populations; https://github.com/OmriGruman/ukb-atherosclerosis-prediction; https://github.com/YanLuoCityU/UKB_NMR_CVD_prediction,weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
40161,Application of deep learning for the characterisation of motion patterns in the heart,Tier 1,confirmed,yes,application_only_curated_app_40161,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
45761,Genetics of cancer risk and therapy response,Tier 1,confirmed,yes,family_cancerrisk,https://github.com/alexwjung/CancerRisk; https://github.com/gerstung-lab/CancerRisk,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
46122,Characterizing the contribution of short tandem repeats to human phenotypes.,Tier 1,confirmed,yes,application_only_curated_app_46122,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,Tier 1,confirmed,yes,family_mh-in-ukb; family_popmodel-ml-mh; family_sophia-cross-sectional,https://github.com/tongluobing/MH_in_UKB; https://github.com/PersonomicsLab/popmodel_ML_MH; https://github.com/JackW7777/SOPHIA_Cross_Sectional; https://github.com/kkk0-000/SOPHIA_Cross_Sectional; https://github.com/sspl33/SOPHIA_Cross_Sectional; https://github.com/zscu/SOPHIA_Cross_Sectional,C; repo-publication-application chain to an existing baseline app; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
48388,Precision Retinal Biomarkers for Cognitive Impairment,Tier 1,confirmed,yes,family_bnn-for-uncertainty-estimation-of-imaging-biomarkers; family_retinapd,https://github.com/suyanzhou626/BNN-for-Uncertainty-Estimation-of-Imaging-Biomarkers; https://github.com/hewramanwaran/RetinaPD; https://github.com/lab-smile/RetinaPD,weak topic/path/data-type evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
49777,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,Tier 1,confirmed,yes,application_only_curated_app_49777,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
51064,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",Tier 1,confirmed,yes,family_ukbcc,https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,B,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,Tier 1,confirmed,yes,application_only_curated_app_51157,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",Tier 1,confirmed,yes,application_only_curated_app_52293,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
52887,Leveraging medical images and deep learning to characterize biological age,Tier 1,confirmed,yes,family_main-pipeline-and-images-based-models-pipeline-deep-learning-and-aging-main-pipeline-and-images-based-models-pipeline,https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline; https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline,C,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",Tier 1,confirmed,yes,application_only_curated_app_55288,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,Tier 1,confirmed,yes,family_gogogpcr,https://github.com/deepgohil/gogoGPCR; https://github.com/petergerlach1/gogoGPCR,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
56757,Developing chronic disease models to inform health policy and guide treatment decisions,Tier 1,confirmed,yes,family_anyajacobs_ukbiobank; family_anyalasagne1_ukbiobank; family_rooty29_ukbiobank; family_zhishenppp_ukbiobank,https://github.com/anyajacobs/UKBiobank; https://github.com/anyalasagne1/UKBiobank; https://github.com/Rooty29/UKBiobank; https://github.com/zhishenPPP/UKBiobank,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,Tier 1,confirmed,yes,application_only_curated_app_57232,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
59070,Statistical machine learning of wearable sensor data to predict disease outcomes,Tier 1,confirmed,yes,application_only_curated_app_59070,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,Tier 1,confirmed,yes,application_only_curated_app_61054; family_mltc-clustering; family_uk-biobank-gcg,https://github.com/KremerML/MLTC-clustering; https://github.com/sblg/UK-Biobank-GCG,weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
61666,Sexually antagonistic selection in humans,Tier 1,confirmed,yes,family_gxsex,https://github.com/harpak-lab/GxSex,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,Tier 1,confirmed,yes,application_only_curated_app_61785,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
62254,Optimisation of time use for health and wellbeing,Tier 1,confirmed,yes,application_only_curated_app_62254,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
64823,A Genomic Data Science Framework for the 1000 Arab genome project,Tier 1,confirmed,yes,application_only_curated_app_64823,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
65805,Genetic factors on Type 2 diabetes and hypertension,Tier 1,confirmed,yes,application_only_curated_app_65805; family_congele-msc; family_diabetes-prediction; family_epi-prs; family_ukb-gen-clocks; family_ukb-nmr-cvd-prediction,https://github.com/Arnoldzyf/ConGele_MSc; https://github.com/Haileygu99/diabetes_prediction; https://github.com/ghm17/Epi-PRS; https://github.com/tzhang-nmdp/Epi-PRS; https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks; https://github.com/YanLuoCityU/UKB_NMR_CVD_prediction,weak topic/path/data-type evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
66995,"Prediction of haplotypes, genotypes, parental-of-origin and applications in biobanks.",Tier 1,confirmed,yes,family_cnv-ukb; family_shapeit5,https://github.com/GeneticResources/cnv-ukb; https://github.com/23andme-jaredo/shapeit5; https://github.com/barneyhill/shapeit5; https://github.com/JosephLalli/shapeit5; https://github.com/M-Hakmi/shapeit5; https://github.com/odelaneau/shapeit5; https://github.com/RimanB/shapeit5; https://github.com/rwk-unil/shapeit5; https://github.com/sunrisefor/shapeit5; https://github.com/Toseph/shapeit5; https://github.com/victorasua/shapeit5,weak topic/path/data-type evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
69610,Genetic stratification of immunosuppressive drugs on neurodegenerative disorders incidence,Tier 1,confirmed,yes,application_only_curated_app_69610,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
72911,Stratification of complex phenotypes focusing on Inflammatory Bowel Disease and co-morbidities: trialling novel methods,Tier 1,probable,yes,family_genepy-2,https://github.com/parsboy1987/GenePy-2,C; repo-publication-UKB application chain,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
74395,Interpretion of health data with artificial intelligence for study of cardiovascular risk factors and their relation to diseases,Tier 1,confirmed,yes,application_only_curated_app_74395,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
79957,Deep learning based causal inference methods for variant interpretation,Tier 1,confirmed,yes,application_only_curated_app_79957,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
84103,Genomic approaches to relating cardiovascular structure and function to heart failure for the purposes of drug discovery.,Tier 1,confirmed,yes,family_genetic-survival-analysis-in-ukb,https://github.com/tenayatherapeutics/Genetic-Survival-Analysis-in-UKB,A1_DIRECT_APP_ID,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
84709,Risk and prognosis factors of cardiovascular disease on different genetic background,Tier 1,probable,yes,family_uk-biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,C; repo-publication-UKB application chain,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
87802,Assessment of frailty and biological age using multi-modal deep learning,Tier 1,confirmed,yes,family_main-pipeline-and-images-based-models-pipeline-deep-learning-and-aging-main-pipeline-and-images-based-models-pipeline; family_ukbb-risk,https://github.com/deep-learning-and-aging/main-pipeline-and-images-based-models-pipeline; https://github.com/Deep-Learning-and-Aging/Main-pipeline-and-Images-based-models-pipeline; https://github.com/IFF-0303/ukbb_risk; https://github.com/yayapa/ukbb_risk,weak topic/path/data-type evidence; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
88159,"Fine-mapping, genetic correlation and genetic risk prediction for complex traits in different populations",Tier 1,confirmed,yes,family_omniprs,https://github.com/biostatShao/OmniPRS,A1_DIRECT_APP_ID,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
88878,The cardiovascular digital twin of the adult population: defining the population ranges.,Tier 1,confirmed,yes,application_only_curated_app_88878,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
89197,Effects of copy number variants on the morphological structure of the brain across several neurodevelopmental disorders.,Tier 1,probable,yes,family_ukbbmriutils,https://github.com/STALICLA-RnD/UkbbMriUtils,C; organization/project/topic consistency plus public UKB project evidence,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
92005,"Integrative analysis of genomic, molecular, cellular, and biochemical measures to inform cancer etiology",Tier 1,confirmed,yes,application_only_curated_app_92005,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
103356,Understanding the role of rare and common genetic variation in human phenotypes,Tier 1,confirmed,yes,family_ukbython,https://github.com/adamelkholyy/ukbython,A1_DIRECT_APP_ID,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
177030,Impacts of rapid environmental/societal changes on the genetic architecture of and selection on human traits,Tier 1,confirmed,yes,family_human-sex-ratio,https://github.com/song88180/Human_sex_ratio,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
822932,Inherent and non-inherent factors for chronic diseases and multimorbidity,Tier 1,confirmed,yes,family_ukbanalytica,https://github.com/blitz305/UKBAnalytica; https://github.com/Hinna0818/UKBAnalytica; https://github.com/lcx777-afk/UKBAnalytica,B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; A1_DIRECT_APP_ID,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
867484,Identifying predictors for persistent pain after joint replacement in osteoarthritis patients by integrative analysis of multimodal data,Tier 1,confirmed,yes,application_only_curated_app_867484,,,Curated 52 baseline. This hierarchy override applies regardless of exhaustive-table status.,yes
51830,Identifying genetic factors for brain ageing,Tier 4,ambiguous,no,family_keloids-clustering; family_sas-sample-extraction; family_ukb-api; family_ukb-download-and-prep-template; family_ukbb-risk; family_ukbcc,https://github.com/anirudhj05/Keloids_Clustering; https://github.com/samarpita-saha293/SAS_sample_extraction; https://github.com/batmanlab/ukb_api; https://github.com/tighu20/ukb_api; https://github.com/lenamax2355/ukb_download_and_prep_template; https://github.com/yayapa/ukbb_risk; https://github.com/kevmanderson/ukbcc; https://github.com/laura-ponting/ukbcc,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-3; retained from a family with exactly one supported/ambiguous application. Ambiguous multi-application families are excluded from this tier.,yes
54520,"Constructing risk scores of longevity, dementia, and related disorders",Tier 4,ambiguous,no,family_ukb-download-and-prep-template,https://github.com/lenamax2355/ukb_download_and_prep_template,weak topic/path/data-type evidence,Not in Tiers 1-3; retained from a family with exactly one supported/ambiguous application. Ambiguous multi-application families are excluded from this tier.,yes
146079,Epidemiological and Genetic Risk Factors for keloid and hypertrophic scar,Tier 4,ambiguous,no,family_keloids-clustering,https://github.com/anirudhj05/Keloids_Clustering,weak topic/path/data-type evidence,Not in Tiers 1-3; retained from a family with exactly one supported/ambiguous application. Ambiguous multi-application families are excluded from this tier.,yes
236,Genome-wide association study of blood pressure.,Tier 5,candidate,no,family_genetic-association; family_postincredible_ukbb; family_shapeit5; family_ukbb-gwas-dev,https://github.com/Swadha22/Genetic_association; https://github.com/postincredible/ukbb; https://github.com/odelaneau/shapeit5; https://github.com/ashwinas88/UKBB_GWAS_dev; https://github.com/LingTuo/UKBB_GWAS_dev,weak topic/path/data-type evidence; supporting identity/topic evidence,Not in Tiers 1-4; retained because at least one attribution row has B-level candidate evidence.,yes
