family_id,family_status,lineage_count,lineage_ids,source_repositories,candidate_application_count,supported_or_ambiguous_application_count,candidate_application_ids,supported_or_ambiguous_application_ids,confirmed_rows,probable_rows,ambiguous_rows,candidate_rows,weak_candidate_rows,new_unique_candidate_count_beyond_52
family_amml-disentangling-structure-from-detail,weak_candidate_only,1,lineage_danilaydh_amml-disentangling-structure-from-detail,danilayDH/AMML-Disentangling-Structure-from-Detail,20,0,12010; 14649; 21988; 27960; 32011; 34763; 41849; 50000; 56355; 65898; 84541; 87031; 88504; 94113; 104017; 127971; 182419; 532754; 782341; 811724,,0,0,0,0,20,20
family_anyajacobs_ukbiobank,ambiguous_multi_application,1,lineage_anyajacobs_ukbiobank,anyajacobs/UKBiobank,20,20,1417; 8835; 9946; 19189; 19526; 27477; 28231; 37126; 44411; 56757; 56902; 63871; 64689; 67575; 86321; 98679; 104784; 1054981; 1159532; 1209696,1417; 8835; 9946; 19189; 19526; 27477; 28231; 37126; 44411; 56757; 56902; 63871; 64689; 67575; 86321; 98679; 104784; 1054981; 1159532; 1209696,1,0,0,19,0,18
family_anyalasagne1_ukbiobank,confirmed,1,lineage_anyalasagne1_ukbiobank,anyalasagne1/UKBiobank,21,1,21988; 55681; 56757; 85092; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 491285; 1000805; 1001139; 1001461; 1002450; 1004433,56757,1,0,0,0,20,20
family_bio-machinelearning,weak_candidate_only,1,lineage_apostolos00tapsas_bio-machinelearning,Apostolos00tapsas/bio-machinelearning,20,0,10589; 16124; 16218; 18597; 20904; 21770; 21988; 27449; 34217; 42406; 44098; 64712; 66911; 89994; 104784; 233227; 399545; 747695; 882999; 898225,,0,0,0,0,20,20
family_biobank-read,weak_candidate_only,3,lineage_dragonriser_biobank-read; lineage_iff-0303_biobank-read; lineage_seonchoe_biobank-read,Dragonriser/biobank-read; IFF-0303/biobank-read; SEONCHOE/biobank-read,20,0,742; 21988; 25995; 58838; 61031; 65138; 67789; 78851; 84436; 85403; 90798; 105899; 106460; 179597; 596898; 608779; 706110; 1000805; 1001139; 1014015,,0,0,0,0,60,20
family_biobankread,weak_candidate_only,1,lineage_yzharold_biobankread,yzharold/BiobankRead,20,0,9174; 13462; 19039; 24281; 25163; 28721; 48008; 50071; 55681; 61031; 83341; 85092; 102655; 104659; 129198; 226006; 240649; 491285; 991561; 1057239,,0,0,0,0,20,20
family_biobankread-bash,weak_candidate_only,2,lineage_lenamax2355_biobankread-bash; lineage_os01_biobankread-bash,lenamax2355/BiobankRead-Bash; os01/BiobankRead-Bash,20,0,742; 21988; 25995; 58838; 61031; 65138; 67789; 78851; 84436; 85403; 90798; 105899; 106460; 179597; 596898; 608779; 706110; 1000805; 1001139; 1014015,,0,0,0,0,40,20
family_biomarkers,weak_candidate_only,8,lineage_eugene-xyhe_biomarkers; lineage_iff-0303_biomarkers; lineage_jujiaokang_biomarkers; lineage_julyfish711_biomarkers; lineage_lenamax2355_biomarkers; lineage_ran485_biomarkers; lineage_shicheng-guo_biomarkers; lineage_smiles2011hyc_biomarkers,Eugene-xyHe/biomarkers; IFF-0303/biomarkers; JujiaoKang/biomarkers; julyfish711/biomarkers; lenamax2355/biomarkers; Ran485/biomarkers; Shicheng-Guo/biomarkers; smiles2011hyc/biomarkers,20,0,10214; 61771; 62283; 69067; 90143; 100584; 103053; 106345; 108486; 116200; 181095; 273810; 477103; 491942; 531727; 799199; 836794; 1108406; 1146999; 1171089,,0,0,0,0,160,20
family_biomarkers-beautfig,weak_candidate_only,1,lineage_k-zhangfengwei_biomarkers_beautfig,K-zhangfengwei/biomarkers_beautfig,20,0,10214; 61771; 62283; 69067; 90143; 100584; 103053; 106345; 108486; 116200; 181095; 273810; 477103; 491942; 531727; 799199; 836794; 1108406; 1146999; 1171089,,0,0,0,0,20,20
family_bis620-2022,weak_candidate_only,1,lineage_hankkamark_bis620.2022,HankkaMark/bis620.2022,20,0,21988; 100014; 100235; 100242; 100261; 100274; 100300; 100316; 100337; 100359; 100371; 100411; 100430; 100469; 1000805; 1001139; 1001461; 1002450; 1002478; 1004433,,0,0,0,0,20,20
family_bis687-capstone-group-8,weak_candidate_only,1,lineage_jingnanbai_bis687-capstone-group-8,JingnanBai/BIS687-Capstone-group-8,20,0,11193; 15595; 21988; 55681; 56987; 85092; 100014; 100235; 100242; 100261; 100274; 100300; 100681; 491285; 1000805; 1001139; 1001461; 1002450; 1002478; 1035459,,0,0,0,0,20,20
family_biv-volumetric-meshing,weak_candidate_only,1,lineage_kiwixiao_biv-volumetric-meshing,kiwixiao/biv-volumetric-meshing,20,0,21988; 51587; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 761882; 1000805; 1001139; 1001461; 1002450; 1004433,,0,0,0,0,20,20
family_bnn-for-uncertainty-estimation-of-imaging-biomarkers,weak_candidate_only,1,lineage_suyanzhou626_bnn-for-uncertainty-estimation-of-imaging-biomarkers,suyanzhou626/BNN-for-Uncertainty-Estimation-of-Imaging-Biomarkers,20,0,30091; 48388; 51784; 52498; 55699; 81786; 95105; 103903; 107326; 299228; 354002; 437499; 477103; 491942; 541112; 642431; 706110; 991284; 1049648; 1084290,,0,0,0,0,20,19
family_cancerrisk,confirmed,2,lineage_alexwjung_cancerrisk; lineage_gerstung-lab_cancerrisk,alexwjung/CancerRisk; gerstung-lab/CancerRisk,22,1,788; 12653; 16803; 21988; 40518; 45761; 54124; 54389; 54717; 55681; 64658; 74629; 81358; 100235; 100242; 100261; 100274; 329910; 1000805; 1001139; 1001461; 1002450,45761,2,0,0,0,38,21
family_cnv-ukb,weak_candidate_only,1,lineage_geneticresources_cnv-ukb,GeneticResources/cnv-ukb,20,0,7140; 19705; 21988; 35959; 41297; 45075; 48915; 51296; 53354; 62713; 63844; 65748; 65814; 65898; 66995; 85474; 88969; 609756; 798529; 1007072,,0,0,0,0,20,19
family_code-examples,weak_candidate_only,1,lineage_miguelmspereira_code-examples,miguelmspereira/code-examples,20,0,21988; 46263; 59528; 100014; 100235; 100242; 100261; 100274; 100300; 100316; 100337; 100359; 100371; 100411; 1000805; 1001139; 1001461; 1002450; 1002478; 1050006,,0,0,0,0,20,20
family_congele-msc,weak_candidate_only,1,lineage_arnoldzyf_congele_msc,Arnoldzyf/ConGele_MSc,20,0,761; 26981; 32011; 35944; 42111; 46631; 48134; 49749; 51659; 55274; 57854; 57947; 60021; 64071; 65805; 75946; 100773; 104017; 182419; 214427,,0,0,0,0,20,19
family_cuihuaxia_001,weak_candidate_only,1,lineage_cuihuaxia_001,CuihuaXia/001,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_data2vec-bert-ukb,weak_candidate_only,1,lineage_alatteaday_data2vec_bert_ukb,alatteaday/data2vec_bert_ukb,20,0,9174; 21988; 28721; 67789; 80165; 83341; 100235; 100242; 100261; 100274; 100300; 100337; 203528; 555638; 991561; 1000805; 1001139; 1001461; 1002450; 1095867,,0,0,0,0,20,20
family_diabetes-prediction,weak_candidate_only,1,lineage_haileygu99_diabetes_prediction,Haileygu99/diabetes_prediction,20,0,761; 11140; 14762; 26981; 31269; 33923; 46631; 48012; 55274; 56579; 62174; 65805; 65912; 71274; 74655; 77583; 214427; 446734; 689286; 1097167,,0,0,0,0,20,18
family_divergence-pipeline,probable,1,lineage_adrianharris96_divergence_pipeline,AdrianHarris96/Divergence_Pipeline,21,1,17984; 21988; 45994; 59456; 81045; 100014; 100235; 100242; 100261; 100274; 100300; 100316; 100337; 100359; 100371; 176911; 1000805; 1001139; 1001461; 1002450; 1002478,17984,0,1,0,0,20,20
family_ehr,weak_candidate_only,1,lineage_mjfalaguera_ehr,mjfalaguera/EHR,20,0,21988; 41849; 42890; 43397; 48511; 54888; 65898; 75142; 89006; 97730; 99685; 100014; 106206; 182419; 782341; 809737; 827580; 941072; 986618; 1266127,,0,0,0,0,20,20
family_epi-prs,weak_candidate_only,2,lineage_ghm17_epi-prs; lineage_tzhang-nmdp_epi-prs,ghm17/Epi-PRS; tzhang-nmdp/Epi-PRS,20,0,761; 9055; 21988; 26981; 28721; 29169; 29256; 34479; 46631; 61031; 63653; 65805; 65912; 74655; 76085; 95961; 141517; 214427; 528243; 839438,,0,0,0,0,38,19
family_evidence-embracing-nm,ambiguous_multi_application,1,lineage_saigerutherford_evidence_embracing_nm,saigerutherford/evidence_embracing_nm,20,20,14575; 40436; 45227; 52446; 62093; 68416; 83990; 101622; 115757; 148925; 519005; 592266; 714779; 753669; 762904; 778098; 807154; 922920; 1124550; 1252926,14575; 40436; 45227; 52446; 62093; 68416; 83990; 101622; 115757; 148925; 519005; 592266; 714779; 753669; 762904; 778098; 807154; 922920; 1124550; 1252926,0,0,1,19,0,20
family_exposome-aging-ukb,weak_candidate_only,1,lineage_rrrrrs1_exposome-aging-ukb,rrrrrs1/exposome-aging-ukb,20,0,17346; 21988; 55337; 56317; 58743; 92392; 103990; 104745; 111780; 124348; 144915; 176768; 182419; 200882; 533098; 784728; 875732; 1037112; 1055001; 1184286,,0,0,0,0,20,20
