application_id,application_title,application_pi,application_institution,project_start_date,project_start_month,project_start_year,project_start_quarter,post_july2024,analysis_eligible_start_date,primary_its_window_2019_2025,drop_recent_12m_sample,website_match_status,website_url,leak_strict_21,leak_main_27,leak_archived_broad_48,leak_final_expanded,linkage_confidence,linked_lineage_count,linked_family_count,linked_repo_count,linked_notice_count,linked_targeted_row_count,linked_lineages,linked_repo_urls,evidence_grades,count_notes
132,Prevalence of stroke and identification of associated risk factors,Dr Jonathan Hewitt,Western Infirmary,2012-08-31,2012-08,2012,2012Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/prevalence-of-stroke-and-identification-of-associated-risk-factors/,0,0,0,0,,0,0,0,0,0,,,,
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",Dr Piers Dawes,University of Manchester,2012-09-30,2012-09,2012,2012Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/population-burden-of-diease-of-hearing-disability-visual-impairement-and-dual-sensory-impairment-amoung-uk-adults-aged-40-69-years/,0,0,0,0,,0,0,0,0,0,,,,
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,Dr Lesley Rushton,Imperial College London,2012-10-01,2012-10,2012,2012Q4,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/occupational-risk-factors-for-chronic-obstructive-pulmonary-disease/,0,0,0,0,,0,0,0,0,0,,,,
236,Genome-wide association study of blood pressure.,Professor Paul Elliott,Imperial College London,2015-07-01,2015-07,2015,2015Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genome-wide-association-study-of-blood-pressure/,0,0,0,0,,0,0,0,0,0,,,,
262,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,Dr Soren Brage,University of Cambridge,2013-12-01,2013-12,2013,2013Q4,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/associations-between-moderate-to-vigorous-physical-exercise-and-sedentary-behaviour-and-arterial-stiffness-and-blood-pressure-in-uk-adults/,0,0,0,0,,0,0,0,0,0,,,,
270,Development of BMI specific cut offs for fat free mass index,Dr Martijn Spruit,CIRO+,2012-06-01,2012-06,2012,2012Q2,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/development-of-bmi-specific-cut-offs-for-fat-free-mass-index/,0,0,0,0,,0,0,0,0,0,,,,
289,Development of normative values for hand grip strength,Dr Martijn Spruit,CIRO+,2012-07-01,2012-07,2012,2012Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/development-of-normative-values-for-hand-grip-strength/,0,0,0,0,,0,0,0,0,0,,,,
291,Multimorbidity in participants with and without COPD,Dr Martijn Spruit,CIRO+,2012-09-01,2012-09,2012,2012Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multimorbidity-in-participants-with-and-without-copd/,0,0,0,0,,0,0,0,0,0,,,,
338,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,Dr Thomas MacGillivray,University of Edinburgh,2013-04-15,2013-04,2013,2013Q2,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/using-the-vascular-assessment-and-measurement-platform-for-images-of-the-retina-vampire-to-derive-retinal-outcomes/,0,0,0,0,,0,0,0,0,0,,,,
408,Derivation of fitness indicators and their relation with hemodynamic factors,Dr Soren Brage,University of Cambridge,2013-12-01,2013-12,2013,2013Q4,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/derivation-of-fitness-indicators-and-their-relation-with-hemodynamic-factors/,0,0,0,0,,0,0,0,0,0,,,,
