application_id,application_title,project_start_date,start_month,start_quarter,start_month_number,Post,Time,TimeAfter,Leak52,Leak55
132,Prevalence of stroke and identification of associated risk factors,2012-08-31,2012-08-01,2012-07-01,8,0,2,0,0,0
166,"Population burden of diease of hearing disability, visual impairement and dual-sensory impairment amoung UK adults aged 40 - 69 years",2012-09-30,2012-09-01,2012-07-01,9,0,3,0,0,0
178,Occupational risk factors for Chronic Obstructive Pulmonary Disease,2012-10-01,2012-10-01,2012-10-01,10,0,4,0,0,0
236,Genome-wide association study of blood pressure.,2015-07-01,2015-07-01,2015-07-01,7,0,37,0,0,0
262,Associations between moderate to vigorous physical exercise and sedentary behaviour and arterial stiffness and blood pressure in UK adults,2013-12-01,2013-12-01,2013-10-01,12,0,18,0,0,0
270,Development of BMI specific cut offs for fat free mass index,2012-06-01,2012-06-01,2012-04-01,6,0,0,0,0,0
289,Development of normative values for hand grip strength,2012-07-01,2012-07-01,2012-07-01,7,0,1,0,0,0
291,Multimorbidity in participants with and without COPD,2012-09-01,2012-09-01,2012-07-01,9,0,3,0,0,0
338,Using the Vascular Assessment and Measurement Platform for Images of the Retina (VAMPIRE) to derive retinal outcomes,2013-04-15,2013-04-01,2013-04-01,4,0,10,0,0,0
408,Derivation of fitness indicators and their relation with hemodynamic factors,2013-12-01,2013-12-01,2013-10-01,12,0,18,0,0,0
412,Lung function and its association with fatal and non-fatal outcomes,2012-10-01,2012-10-01,2012-10-01,10,0,4,0,0,0
431,"Association between shift work and cancer, vascular disease and other diseases",2013-06-30,2013-06-01,2013-04-01,6,0,12,0,0,0
522,Retinal vessel morphology as a predictor of cardiovascular risk and disease outcome in later life,2013-07-01,2013-07-01,2013-07-01,7,0,13,0,0,0
648,Common and rare genetic variants in respiratory health: the UK Biobank Lung Exome Variant Evaluation (UK BiLEVE) consortium,2012-11-01,2012-11-01,2012-10-01,11,0,5,0,0,0
669,"Distribution and biological, environmental and lifestyle determinants of visual function and of refractive error in adults (aged 40 to 69 years) in the UK.",2013-01-01,2013-01-01,2013-01-01,1,0,7,0,0,0
676,Machine learning detection of novel disease correlates,2016-04-01,2016-04-01,2016-04-01,4,0,46,0,0,0
742,"Understanding the Risk Factors Underlying Sudden Cardiac Death: An Investigation Utilising Bio, Genomic and Clinical Markers by the UK Biobank Cardio-Metabolic Consortium",2016-04-01,2016-04-01,2016-04-01,4,0,46,0,0,0
761,Risk of type 2 Diabetes and development of disease,2012-09-19,2012-09-01,2012-07-01,9,0,3,0,0,0
774,Cross-sectional study to investigate ethnic differences in cardiovascular risk and mental health,2012-11-05,2012-11-01,2012-10-01,11,0,5,0,0,0
788,Heritability of disease frequency,2013-02-01,2013-02-01,2013-01-01,2,0,8,0,0,0
828,Evaluating variants in cancer predisposition genes for improved clinical interpretation,2015-07-13,2015-07-01,2015-07-01,7,0,37,0,0,0
837,Gary Frost,2015-02-01,2015-02-01,2015-01-01,2,0,32,0,0,0
871,Genetic factors associated with being at different extremes of the reproductive lifespan,2015-05-31,2015-05-01,2015-04-01,5,0,35,0,0,0
885,Epidemiology of kidney stone disease,2014-11-01,2014-11-01,2014-10-01,11,0,29,0,0,0
1100,The causes of and risk factors for visual impairment in middle-aged adults in the UK Biobank,2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
1144,Epidemiology of chronic pain,2012-11-05,2012-11-01,2012-10-01,11,0,5,0,0,0
1159,Association beween cognitive function and Chonic Obstructive Pulmonary Disease,2013-01-01,2013-01-01,2013-01-01,1,0,7,0,0,0
1163,Association between dietary intake and lung function,2013-09-18,2013-09-01,2013-07-01,9,0,15,0,0,0
1251,"The metabolically healthy obese and metabolically obese normal-weight in the UK Biobank: Prevalence, genes and lifestyle contributors, disease risk and mortality",2015-07-01,2015-07-01,2015-07-01,7,0,37,0,0,0
1331,Prevalence and risk factors for benign and malignant colorectal disease in the UK.,2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
1383,Environmental risk factors of non-cancer illness,2012-12-01,2012-12-01,2012-10-01,12,0,6,0,0,0
1417,Associations between parental attained ages and health status,2013-06-01,2013-06-01,2013-04-01,6,0,12,0,0,0
1602,Association between diet and depression,2014-01-01,2014-01-01,2014-01-01,1,0,19,0,0,0
1618,Interaction of genetics and environment in triggering anti-PLA2R autoantibody in membranous nephropathy: a paradigm for initiation of autoimmunity,2018-05-14,2018-05-01,2018-04-01,5,0,71,0,0,0
1781,Personalized prediction of diabetes outcomes,2014-03-03,2014-03-01,2014-01-01,3,0,21,0,0,0
1969,Development of structural and functional brain connectivity during normal and pathological ageing,2017-03-01,2017-03-01,2017-01-01,3,0,57,0,0,0
1995,Evaluation of the clinical value of emerging risk factors for primary prevention of cardiovascular disease,2013-03-25,2013-03-01,2013-01-01,3,0,9,0,0,0
2112,Automated macular thickness measurements and association with potential risk factors and systemic disease,2013-03-04,2013-03-01,2013-01-01,3,0,9,0,0,0
2482,Comparisson of smoking behaviour between men and women to assess risk inducing habits,2013-10-01,2013-10-01,2013-10-01,10,0,16,0,0,0
2495,Sex differences in the association between major and modifiable risk factors with cardiovascular disease,2015-02-23,2015-02-01,2015-01-01,2,0,32,0,0,0
2532,UK Biobank Stroke Study (UKBiSS): developing an in-depth understanding of the determinants of stroke and its subtypes,2017-03-01,2017-03-01,2017-01-01,3,0,57,0,0,0
2964,Description of cardiovascular phenotype in the UK Biobank population based on cardiovascular magnetic resonance and carotid ultrasound,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
3028,Salivary biomarkers of a healthy diet and development of type 2 diabetes,2017-04-03,2017-04-01,2017-04-01,4,0,58,0,0,0
3037,Diet and its associatio between health and risk of cancer,2013-07-01,2013-07-01,2013-07-01,7,0,13,0,0,0
3071,Genetic epidemiology of melanoma and melanoma survival,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
3139,Association between arterial stiffness index and risk of cardiovascular disease,2013-09-16,2013-09-01,2013-07-01,9,0,15,0,0,0
3173,"A multi-level approach to better understand the association between physical activity and sedentary behaviour, and cancer risk.",2017-03-01,2017-03-01,2017-01-01,3,0,57,0,0,0
3224,"Health satisfaction of individuals diagnosed with coeliacs disease, IBD and healthy controls",2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
3248,Hormones and Breast Cancer Consortium: Risk factors for breast cancer,2013-06-30,2013-06-01,2013-04-01,6,0,12,0,0,0
3282,Prostate Cancer Epidemiology Consortium: Risk factors for prostate cancer,2013-06-30,2013-06-01,2013-04-01,6,0,12,0,0,0
3398,"Effects of the use of computer games, internet use and mobile phone use on the physical and mental health of the UK Biobank population",2014-01-01,2014-01-01,2014-01-01,1,0,19,0,0,0
3474,Effects of Chronotype on Sleep Duration and Body Composition Variables,2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
3501,Genome-wide association studies of chronic pain and the overlap with depression.,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
3572,The impact of hearing difficulty and hearing aids on depression and fluid intelligence,2013-07-01,2013-07-01,2013-07-01,7,0,13,0,0,0
3593,"Osteoporosis, fractures and cardiovascular risk",2014-09-08,2014-09-01,2014-07-01,9,0,27,0,0,0
3913,The genetics of HbA1c: biological pathways and impact on diabetes and cardiovascular disease risk.,2016-01-01,2016-01-01,2016-01-01,1,0,43,0,0,0
3932,A risk-benefit ratio of sunlight exposure,2013-07-11,2013-07-01,2013-07-01,7,0,13,0,0,0
3966,"Study to indenify risk factors for RA, osteoporosis and cardiovascular disease",2013-09-01,2013-09-01,2013-07-01,9,0,15,0,0,0
