application_id,notice_id,mapping_status,confidence,evidence_type,source_record,repo_url,reviewer_note
10279,2025-10-17-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/JoannaMoodie/moodie-geneexpression-cognition,Historical deck records the repository, paper DOI 10.1002/hbm.26641, and application 10279.
12184,2026-04-01-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/kremerml/MLTC-clustering,Historical deck records the repository, paper DOI 10.1109/BigData55660.2022.10021034, and application 12184.
19136,2026-03-27-uk-biobank-8,historical_pptx_notice_link,ambiguous,historical_repo_owner_application_chain,empirical 2.pptx slide 19,https://github.com/miguelmspereira/code-examples,Historical deck records repository owner Miguel M. S. Pereira, application 19136, and DOI 10.1371/journal.pmed.1002634.
22224,2025-10-15-uk-biobank-4,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/jonathanklmak/UKB_bioage_cancer,Historical deck records the bioage-cancer repository and DOI 10.1038/s41416-023-02288-w for application 22224.
22224,2025-11-07-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/becomingcc/ukbfrailty,Historical deck records the ukbfrailty repository and DOI 10.1093/gerona/gly094 for application 22224.
23668,2025-11-07-uk-biobank-6,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/saigerutherford/evidence_embracing_nm,Historical deck records DOI 10.7554/eLife.85082 and application 23668.
24247,2025-11-13-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/ZhiGroup/UDIP-ViT,Historical deck records the repository and DOI 10.1038/s42003-026-10430-6 for application 24247.
27837,2025-10-17-uk-biobank-4,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/msesia/ukbiobank_knockoffs,Historical deck records the repository, DOI 10.1073/pnas.1912355117, and application 27837.
30418,2025-11-18-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/sritchie73/UKB_NMR_CVD_prediction,Historical deck records the repository and Project 30418 in the linked paper.
31063,2026-04-17-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/rahulg603/mtSwirl,Historical deck records mtSwirl and its paper for application 31063.
33923,2025-08-11-ukbiobank,historical_pptx_notice_link,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,https://github.com/mathilab/PRS_Height_Admixed_Populations,Historical deck records PMC7642950 explicitly reporting Application 33923.
40161,2025-11-25-uk-biobank-2,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/suniljmanohar/UKBiobank_ECG,Historical deck records the repository and DOI 10.22489/CinC.2024.126 for application 40161.
46122,2025-10-03-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/LiterallyUniqueLogin/ukbiobank_strs,Historical deck records the repository and DOI 10.1016/j.xgen.2023.100458 for application 46122.
49777,2025-11-07-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19; current lineage index,https://github.com/binfnstats/ukb-IDEARS,Deck identifies the repository and DOI 10.1371/journal.pone.0285416; current lineage index supplies the notice ID.
51157,2025-10-02-uk-biobank,historical_pptx_notice_link,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,https://github.com/thbuerg/MetabolomicsCommonDiseases,Historical deck records the repository and paper text reporting application 51157.
52293,2025-08-22-uk-biobank,historical_pptx_notice_link,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,https://github.com/Ran485/biomarkers,Historical deck records the repository and paper text reporting Application ID 52293.
54520,2025-11-04-uk-biobank,current_tier4_notice_link,ambiguous,existing_tier4_single_application_family,existing Broad55 Tier-4 input; current lineage evidence,https://github.com/lenamax2355/ukb_download_and_prep_template,Existing Tier-4 membership retains application 54520 from this single-application ambiguous family; the current lineage index supplies the notice ID.
55288,2025-10-15-uk-biobank-2,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/cdyoung2/UKBBModRisk,Historical deck records the repository and paper text reporting Application Number 55288.
57232,2025-11-25-uk-biobank-5,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/danielcoral/SOPHIA_Cross_Sectional,Historical deck records the repository and paper text reporting approval ID 57232.
59070,2025-12-08-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/OxWearables/ukb_exome,Historical deck records application 59070 and DOI 10.1038/s41746-024-01062-3.
61054,2025-11-13-ukbiobank,historical_pptx_notice_link,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,https://github.com/miargentieri/exposome-aging-ukb,Historical deck records the repository and paper text reporting project application 61054.
61785,2025-12-08-uk-biobank-5,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/nicwin98/UK-Biobank-GCG,Historical deck records the repository and DOI 10.1007/s00125-024-06160-1 for application 61785.
62254,2025-11-13-uk-biobank-2,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/florale/ukb-cancer-24h,Historical deck records the repository and DOI 10.1136/jech-2025-225231 for application 62254.
64823,2025-10-17-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19; current lineage index,https://github.com/AishaAlsuwaidi/Genetic-annotation-aware-dimensionality-reduction-in-UK-Biobank,Deck identifies application 64823 and DOI 10.1186/s12859-023-05470-2; current lineage index supplies the notice ID.
65805,2025-08-11-ukbiobank-2,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/andywxf/Predict_CAHD_by_ECG_on_UK_Biobank,Historical deck records the repository and protocol number 65805 in the linked paper.
69610,2025-10-02-uk-biobank-3,historical_pptx_notice_link,confirmed,historical_repo_paper_application_chain,empirical 2.pptx slide 17,https://github.com/aschalkamp/UKBBprodromalPD,Historical deck records the repository and UKB application 69610.
74395,2025-12-10-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/niekverw/ukbpheno,Historical deck records the repository and ukbpheno v1.0 DOI 10.1016/j.xpro.2022.101471 for application 74395.
79957,2025-12-08-uk-biobank-4,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/SUwonglab/Epi-PRS,Historical deck records the repository and DOI 10.1073/pnas.2419202122 for application 79957.
867484,2025-11-25-uk-biobank,historical_pptx_notice_link,ambiguous,historical_repo_owner_application_chain,empirical 2.pptx slide 19,https://github.com/Fmerella/Proteomics_UKBB,Historical deck records repository owner Federica Merella and application 867484.
88878,2025-12-09-uk-biobank-3,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 19,https://github.com/cdttk/biv-volumetric-meshing,Historical deck records the repository and DOI 10.1371/journal.pone.0327158 for application 88878.
92005,2025-10-15-uk-biobank-2,historical_pptx_notice_link,ambiguous,historical_repo_paper_application_chain,empirical 2.pptx slide 18,https://github.com/cdyoung2/UKBBModRisk,Historical deck records the repository and paper text reporting Application Number 92005.
