application_id,application_title,tier,source_set,has_valid_public_start_date,project_start_date,included_in_fixed_6935_application_universe,exclusion_reason
236,Genome-wide association study of blood pressure.,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-07-01,yes,
761,Risk of type 2 Diabetes and development of disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2012-09-19,yes,
1417,Associations between parental attained ages and health status,Tier 5,candidate-inclusive upper-bound attribution,yes,2013-06-01,yes,
3501,Genome-wide association studies of chronic pain and the overlap with depression.,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-10-01,yes,
7898,Genome-wide association studies of cognitive function.,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-12-01,yes,
8370,Genome-wide association studies of hypertension and the overlap with mood disorders.,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-10-01,yes,
8835,"Investigation of the causal association between vascular risk factors, cognitive function and dementia using genetic instruments",Tier 5,candidate-inclusive upper-bound attribution,yes,2014-12-15,yes,
9616,The Genetics of Extreme Blood Indices by Whole Genome Sequencing,Tier 5,candidate-inclusive upper-bound attribution,yes,2016-01-01,yes,
9946,Associations between air pollution and respiratory health in large European cohorts,Tier 5,candidate-inclusive upper-bound attribution,yes,2014-12-31,yes,
10035,Risk factors and associated causal pathways linked to blood pressure,Tier 1,candidate-inclusive upper-bound attribution,yes,2017-03-16,yes,
10279,The relationship of cognitive function and negative emotions with morbidity and mortality: an aetiological investigation,Tier 1,candidate-inclusive upper-bound attribution,yes,2015-04-01,yes,
11425,The Social Science Genetic Association Consortium,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-06-01,yes,
12184,"Type 2 diabetes, physical activity, sedentary behaviour and sleep.",Tier 1,candidate-inclusive upper-bound attribution,yes,2015-03-23,yes,
14575,Whole-genome approaches for dissecting (shared) genetic architecture and individual risk prediction of complex traits in human populations,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-12-01,yes,
14762,Mortality Prediction through Machine Learning,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-10-01,yes,
15168,"Vitamin D status and Musculoskeletal Health in the UK Biobank: Relationships with Genetic Polymorphisms, Diet, Gender and Lifestyle Factors in South Asian and Caucasian Populations",Tier 5,candidate-inclusive upper-bound attribution,yes,2016-06-01,yes,
15678,"Genetic basis of circulating biomarkers, cardiometabolic disease, body composition and lifestyle",Tier 5,candidate-inclusive upper-bound attribution,yes,2015-12-01,yes,
16097,Phenome-wide association studies of drug targets,Tier 5,candidate-inclusive upper-bound attribution,yes,2016-01-01,yes,
16577,Investigations of the genetic overlap between internalising psychiatric disorders and co-morbid physical health disorders.,Tier 5,candidate-inclusive upper-bound attribution,yes,2015-10-01,yes,
17984,Genotype-environment interactions and sub-classification of disease,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-03-01,yes,
18177,Multi-trait GWAS analyses in the UK Biobank,Tier 5,candidate-inclusive upper-bound attribution,yes,2017-05-15,yes,
19136,Lung Health: Genes and environment,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-05-01,yes,
19189,Understanding observational and causal relationships in tinnitus prevalence and severity,Tier 5,candidate-inclusive upper-bound attribution,yes,2016-01-01,yes,
19526,Phenomewide scan of gene level associations,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-04-30,yes,
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-10-01,yes,
19705,"Analysis of sleep phenotypes, genotypes and associated conditions",Tier 5,candidate-inclusive upper-bound attribution,yes,2017-03-01,yes,
20650,Using the UK Biobank to validate and refine two diabetes risk prediction tools,Tier 5,candidate-inclusive upper-bound attribution,yes,2017-11-01,yes,
22224,Prospective studies of ageing and age-related diseases,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-11-01,yes,
23668,Genetic and environmental factors including nutritional and lifestyle influences on neurodevelopmental disorders/traits (including impulsivity/compulsivity) and their brain correlates,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-07-29,yes,
24247,Searching Identity-by-descent segments in biobank-scale cohorts,Tier 1,candidate-inclusive upper-bound attribution,yes,2016-12-15,yes,
27477,Identification of pleiotropic loci for asthma and obesity,Tier 5,candidate-inclusive upper-bound attribution,yes,2017-08-01,yes,
27837,Statistical Methods for Large Scale Genetic Studies,Tier 1,candidate-inclusive upper-bound attribution,yes,2017-08-14,yes,
28231,Associations between chronic obstructive pulmonary disease measures and time use,Tier 5,candidate-inclusive upper-bound attribution,yes,2017-06-30,yes,
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,Tier 1,candidate-inclusive upper-bound attribution,yes,2017-07-01,yes,
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,Tier 1,candidate-inclusive upper-bound attribution,yes,2018-08-06,yes,
30603,Predictive analytics for heart failure: enabling individualization of care and patient education through improved prognostication,Tier 5,candidate-inclusive upper-bound attribution,yes,2017-09-01,yes,
31063,Methodological extensions to estimate genetic heritability and shared risk factors for phenotypes of the UK Biobank,Tier 1,candidate-inclusive upper-bound attribution,yes,2017-10-01,yes,
31615,Genetic factors as a biological link between food intake and cognition,Tier 5,candidate-inclusive upper-bound attribution,yes,2018-11-26,yes,
33087,Phenome-Wide Association Studies to inform therapeutic development at Novartis Institutes for Biomedical Research,Tier 5,candidate-inclusive upper-bound attribution,yes,2018-09-03,yes,
33896,Using genetic data in drug target discovery and validation,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-03-25,yes,
33923,Genetic risk prediction and variance in diverse populations,Tier 1,candidate-inclusive upper-bound attribution,yes,2018-04-06,yes,
35698,Generative Model on brain decoding,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-06-14,yes,
37126,"Genetic variability in people with obstructive lung disease: variation in outcome, response to treatment and disease progression.",Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-29,yes,
37539,Building an Online Resource for Global Investigation and Validation of Trans-ethnic PheWAS Results,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-29,yes,
40161,Application of deep learning for the characterisation of motion patterns in the heart,Tier 1,candidate-inclusive upper-bound attribution,yes,2018-09-05,yes,
40436,"Prediction models of health and wellness traits based on genetics, anthropometric, and clinical data",Tier 5,candidate-inclusive upper-bound attribution,yes,2018-07-24,yes,
41664,Machine learning from complex and genetic data,Tier 5,candidate-inclusive upper-bound attribution,yes,2021-05-27,yes,
42256,Neurogenetics - the role of genetics in normal and abnormal functioning of the Central Nervous System (CNS),Tier 5,candidate-inclusive upper-bound attribution,yes,2020-07-30,yes,
44098,Understanding genetic and phenotypic contributors to complex disease risk,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-03-27,yes,
44290,Prioritizing drug targets through genetic analyses,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-04-12,yes,
44411,"Supporting development of more successful medicines by leveraging the relationship between genotype and phenotype to explore efficacy, safety and indication expansion.",Tier 5,candidate-inclusive upper-bound attribution,yes,2020-08-07,yes,
44891,Assessment of pleiotropic disease associations of haplotypes that possess special features,Tier 5,candidate-inclusive upper-bound attribution,yes,2018-12-10,yes,
45227,Scalable and Robust methods for biobank data analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2018-12-19,yes,
45289,The location of the human seasonal clock,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-03-13,yes,
45340,Development and evaluation of machine learning approaches for genetic-based disease prediction in the UK Biobank.,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-03-12,yes,
45761,Genetics of cancer risk and therapy response,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-05-07,yes,
46122,Characterizing the contribution of short tandem repeats to human phenotypes.,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-04-10,yes,
46146,Applying (deep) machine learning methods for understanding the complex relationship between genes and phenotype,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-05-30,yes,
46631,Gestational Diabetes and subsequent Type 2 Diabetes,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-06-18,yes,
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-03-25,yes,
48388,Precision Retinal Biomarkers for Cognitive Impairment,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-05-09,yes,
48405,Understanding disease subtypes from genotype information,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-04-12,yes,
49777,Identification of genetic and lifestyle risk factors of unhealthy brain ageing to direct mechanistic studies using post-mortem brain tissue,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-09-30,yes,
51064,"Understanding the relationship between genomics, eye imaging, and neurodegeneration",Tier 1,candidate-inclusive upper-bound attribution,yes,2020-03-09,yes,
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-11-04,yes,
51347,MR-based assessment of neurological/psychiatric disorders,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-02,yes,
51628,Phenome-wide & multi-omics delineation of the polygenic architecture of complex traits,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-12-06,yes,
51709,Machine learning analysis of psychiatric diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-11-06,yes,
51830,Identifying genetic factors for brain ageing,Tier 4,candidate-inclusive upper-bound attribution,yes,2019-09-30,yes,
51980,Research using UK Biobank Data to identify key parameters that effect disease states using Machine Learning and Network Sensitivity Analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-07-31,yes,
52031,Gene Based Polygenic Prediction of Adverse Drug Reactions,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-07-30,yes,
52293,"Large-scale whole genome sequencing of the UK Biobank cohort to generate and evaluate therapeutic hypotheses regarding targets, biomarkers and pathways implicated in disease",Tier 1,candidate-inclusive upper-bound attribution,yes,2020-02-03,yes,
52446,Predictive and integrative models for disease prevention using the UK Biobank Data,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-11-20,yes,
52887,Leveraging medical images and deep learning to characterize biological age,Tier 1,candidate-inclusive upper-bound attribution,yes,2019-09-13,yes,
54218,Machine learning for rare disease pattern recognition and analysis,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-01-17,yes,
54336,Identifying genetic and environmental factors underpinning complex trait variation in humans,Tier 5,candidate-inclusive upper-bound attribution,yes,2019-09-25,yes,
54520,"Constructing risk scores of longevity, dementia, and related disorders",Tier 4,candidate-inclusive upper-bound attribution,yes,2020-02-04,yes,
55288,"Early life, adulthood, and genomic risk factors for early-onset cancers",Tier 1,candidate-inclusive upper-bound attribution,yes,2019-11-29,yes,
55955,Advancing personalised medicine for psychiatric diseases through integrative GPCR pharmacogenomics,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-06-24,yes,
56329,Genomics-driven molecular refinement of the polygenic risk score of coronary heart disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-09,yes,
56757,Developing chronic disease models to inform health policy and guide treatment decisions,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-03-06,yes,
56859,Understanding the genetics of complex diseases/traits to identify potential drug targets and patient stratification markers,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-02-26,yes,
56902,The associations between metals status and the risk of health-related outcomes and all-cause mortality: a Mendelian randomization-phenome-wide association study,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-02,yes,
57189,Establishing causal relations for circulating factors to cardiometabolic and neurodegenerative diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-09,yes,
57232,Estimating the overall impact of genetic variation on morbidity and mortality and assessing differential risk conditional on environmental and genetic factors.,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-04-30,yes,
57266,A Genome-Wide Association Study of Tinnitus to Identify Genes of Interest and Potential Therapeutic Targets,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-09,yes,
58105,Pathway analysis and prediction analysis for various complex diseases,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-06-24,yes,
58919,Association between cerebrovascular disease and Parkinson disease.,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-04-02,yes,
59070,Statistical machine learning of wearable sensor data to predict disease outcomes,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-04-21,yes,
59456,Using UK Biobank data to support the Novartis drug discovery and development pipeline,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-05-28,yes,
60434,Machine learning prediction of common disease risks and disease network construction using multi-source data,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-05-04,yes,
60520,Assessment of organ-specific biological age based on whole body MR data,Tier 5,candidate-inclusive upper-bound attribution,yes,2021-03-22,yes,
60651,"Patterns, outcomes and predictors of non-communicable diseases and multimorbidity",Tier 5,candidate-inclusive upper-bound attribution,yes,2020-03-30,yes,
60928,Angioedema: Investigation of genetic and environmental risk factors,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-07-10,yes,
61054,Social and Environmental Adversity in Relation to All-Cause Mortality,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-05-19,yes,
61147,Using machine learning on genomic data for prediction of disease comorbidity.,Tier 5,candidate-inclusive upper-bound attribution,yes,2021-03-22,yes,
61467,Polygenic analysis for Alzheimer's disease,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-07-28,yes,
61666,Sexually antagonistic selection in humans,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-08-17,yes,
61785,Physiological and Bioinformatics Analyses of Genetic Variants in the Glucagon Receptor,Tier 1,candidate-inclusive upper-bound attribution,yes,2021-02-23,yes,
62254,Optimisation of time use for health and wellbeing,Tier 1,candidate-inclusive upper-bound attribution,yes,2020-11-25,yes,
62811,"Lifestyle, metabolic/inflammatory profile, genetics and neurological diseases among participants in the UK Biobank",Tier 5,candidate-inclusive upper-bound attribution,yes,2020-10-26,yes,
63121,Understanding the genetic and environmental risk factors and genotype-environment interaction in cardiovascular diseases for precision medicine,Tier 5,candidate-inclusive upper-bound attribution,yes,2020-07-17,yes,
63454,"Understand the relationship between diet, lifestyle and gene-environment interactions and healthy aging",Tier 5,candidate-inclusive upper-bound attribution,yes,2020-06-24,yes,
