application_id,application_title,application_pi,application_institution,project_start_date,project_start_month,project_start_year,project_start_quarter,post_july2024,analysis_eligible_start_date,primary_its_window_2019_2025,drop_recent_12m_sample,website_match_status,website_url,leak_strict_21,leak_main_27,leak_archived_broad_48,leak_final_expanded,linkage_confidence,linked_lineage_count,linked_family_count,linked_repo_count,linked_notice_count,linked_targeted_row_count,linked_lineages,linked_repo_urls,evidence_grades,count_notes
19526,Phenomewide scan of gene level associations,Dr Hae Kyung Im,University of Chicago,2016-04-30,2016-04,2016,2016Q2,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/phenomewide-scan-of-gene-level-associations/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,3,1,3,1,14,lineage_cuihuaxia_ptrs-ukb; lineage_emyanuthomas_ptrs-ukb; lineage_hakyimlab_ptrs-ukb,https://github.com/CuihuaXia/ptrs-ukb; https://github.com/emyanuthomas/ptrs-ukb; https://github.com/hakyimlab/ptrs-ukb,B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY; B2_PROJECT_FAMILY_NAME_PROPAGATION,
19542,Identifying multi-level biomarkers and disease mechanisms for major mental disorders,Professor Jianfeng Feng,University of Warwick,2016-10-01,2016-10,2016,2016Q4,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/identifying-multi-level-biomarkers-and-disease-mechanisms-for-major-mental-disorders/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,3,2,3,2,23,lineage_frank-hqz_pain_proteomics; lineage_jjrun-11_imds_wes; lineage_sirius-yang_imds_wes,https://github.com/Frank-HQZ/Pain_Proteomics; https://github.com/Sirius-Yang/IMDs_WES; https://github.com/jjrun-11/IMDs_WES,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION; C; paper text/application chain to an existing baseline app,
27837,Statistical Methods for Large Scale Genetic Studies,Professor Chiara Sabatti,Stanford University,2017-08-14,2017-08,2017,2017Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/statistical-methods-for-large-scale-genetic-studies/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
28784,A statistical framework for personalized nutrition recommendations based on genetic and anthropometric data.,Professor Eran Segal,Weizmann Institute of Science,2017-07-01,2017-07,2017,2017Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/a-statistical-framework-for-personalized-nutrition-recommendations-based-on-genetic-and-anthropometric-data/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,1,2,1,2,lineage_farida-ali_t2dm_ukb_predictions; lineage_yochaiedlitz_t2dm_ukb_predictions,https://github.com/Farida-Ali/T2DM_UKB_predictions; https://github.com/yochaiedlitz/T2DM_UKB_predictions,A1_DIRECT_APP_ID; B2_PROJECT_FAMILY_NAME_PROPAGATION,
30418,Biomarker profiling by NMR metabolomics for the study of chronic disease risk and underlying risk factors,Dr Peter Wurtz,Nightingale Health Ltd,2018-08-06,2018-08,2018,2018Q3,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/biomarker-profiling-by-nmr-metabolomics-for-the-study-of-chronic-disease-risk-and-underlying-risk-factors/,0,1,1,1,main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
33923,Genetic risk prediction and variance in diverse populations,Professor Iain Mathieson,University of Pennsylvania,2018-04-06,2018-04,2018,2018Q2,0,1,0,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genetic-risk-prediction-and-variance-in-diverse-populations/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
45761,Genetics of cancer risk and therapy response,Dr Moritz Gerstung,European Bioinformatics Institute (EBI),2019-05-07,2019-05,2019,2019Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/genetics-of-cancer-risk-and-therapy-response/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,1,2,1,6,lineage_alexwjung_cancerrisk; lineage_gerstung-lab_cancerrisk,https://github.com/alexwjung/CancerRisk; https://github.com/gerstung-lab/CancerRisk,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B1_AUTHOR_LAB_PROJECT_NAME_TOPIC_CONSISTENCY,
47267,Cross-diagnostic and cross-platform multimodal analysis of UK Biobank imaging data,Dr Janine Bijsterbosch,Washington University in St. Louis,2019-03-25,2019-03,2019,2019Q1,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/cross-diagnostic-and-cross-platform-multimodal-analysis-of-uk-biobank-imaging-data/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,2,2,2,2,lineage_personomicslab_popmodel_ml_mh; lineage_tongluobing_mh_in_ukb,https://github.com/PersonomicsLab/popmodel_ML_MH; https://github.com/tongluobing/MH_in_UKB,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; C; repo-publication-application chain to an existing baseline app,
48388,Precision Retinal Biomarkers for Cognitive Impairment,Dr Ruogu Fang,University of Florida,2019-05-09,2019-05,2019,2019Q2,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/precision-retinal-biomarkers-for-cognitive-impairment/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,2,1,2,1,8,lineage_hewramanwaran_retinapd; lineage_lab-smile_retinapd,https://github.com/hewramanwaran/RetinaPD; https://github.com/lab-smile/RetinaPD,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; B2_PROJECT_FAMILY_NAME_PROPAGATION; B3_EXACT_TARGET_CONTENT_FINGERPRINT_PROPAGATION,
51157,Stratification and modelling of competing risks in cardiovascular disease events based on multi-level patient characteristics and genetics,Professor Roland Eils,Charite - Universitatsmedizin Berlin,2019-11-04,2019-11,2019,2019Q4,0,1,1,1,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/stratification-and-modelling-of-competing-risks-in-cardiovascular-disease-events-based-on-multi-level-patient-characteristics-and-genetics/,1,1,1,1,strict_21; main_27; archived_broad_48; final_expanded,1,1,0,0,0,application_only_lower_bound_1,,,application_only_lower_bound_1
