period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2012-06,2012-06-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-07,2012-07-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-08,2012-08-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-09,2012-09-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-10,2012-10-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-11,2012-11-01,monthly,3,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012-12,2012-12-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-01,2013-01-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-02,2013-02-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-03,2013-03-01,monthly,3,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-04,2013-04-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-05,2013-05-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2013-06,2013-06-01,monthly,5,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-07,2013-07-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-08,2013-08-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2013-09,2013-09-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-10,2013-10-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013-11,2013-11-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2013-12,2013-12-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-01,2014-01-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-02,2014-02-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2014-03,2014-03-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-04,2014-04-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-05,2014-05-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-06,2014-06-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-07,2014-07-01,monthly,9,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-08,2014-08-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-09,2014-09-01,monthly,8,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-10,2014-10-01,monthly,2,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-11,2014-11-01,monthly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014-12,2014-12-01,monthly,12,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-01,2015-01-01,monthly,9,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-02,2015-02-01,monthly,7,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-03,2015-03-01,monthly,3,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.33333333,33.33333,1,0.33333333,33.33333
2015-04,2015-04-01,monthly,16,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.06250000,6.25000,1,0.06250000,6.25000
2015-05,2015-05-01,monthly,10,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015-06,2015-06-01,monthly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
