month,period_start,N_t,D52_t,Rate52_t,D55_t,Rate55_t,Post,Time,TimeAfter,month_of_year,quarter_of_year
2012-06,2012-06-01,1,0,0.00000000,0,0.00000000,0,0,0,6,2
2012-07,2012-07-01,1,0,0.00000000,0,0.00000000,0,1,0,7,3
2012-08,2012-08-01,1,0,0.00000000,0,0.00000000,0,2,0,8,3
2012-09,2012-09-01,4,0,0.00000000,0,0.00000000,0,3,0,9,3
2012-10,2012-10-01,2,0,0.00000000,0,0.00000000,0,4,0,10,4
2012-11,2012-11-01,3,0,0.00000000,0,0.00000000,0,5,0,11,4
2012-12,2012-12-01,1,0,0.00000000,0,0.00000000,0,6,0,12,4
2013-01,2013-01-01,2,0,0.00000000,0,0.00000000,0,7,0,1,1
2013-02,2013-02-01,1,0,0.00000000,0,0.00000000,0,8,0,2,1
2013-03,2013-03-01,3,0,0.00000000,0,0.00000000,0,9,0,3,1
2013-04,2013-04-01,1,0,0.00000000,0,0.00000000,0,10,0,4,2
2013-05,2013-05-01,0,0,,0,,0,11,0,5,2
2013-06,2013-06-01,5,0,0.00000000,0,0.00000000,0,12,0,6,2
2013-07,2013-07-01,4,0,0.00000000,0,0.00000000,0,13,0,7,3
2013-08,2013-08-01,0,0,,0,,0,14,0,8,3
2013-09,2013-09-01,4,0,0.00000000,0,0.00000000,0,15,0,9,3
2013-10,2013-10-01,2,0,0.00000000,0,0.00000000,0,16,0,10,4
2013-11,2013-11-01,0,0,,0,,0,17,0,11,4
2013-12,2013-12-01,4,0,0.00000000,0,0.00000000,0,18,0,12,4
2014-01,2014-01-01,4,0,0.00000000,0,0.00000000,0,19,0,1,1
2014-02,2014-02-01,0,0,,0,,0,20,0,2,1
2014-03,2014-03-01,4,0,0.00000000,0,0.00000000,0,21,0,3,1
2014-04,2014-04-01,1,0,0.00000000,0,0.00000000,0,22,0,4,2
2014-05,2014-05-01,1,0,0.00000000,0,0.00000000,0,23,0,5,2
2014-06,2014-06-01,2,0,0.00000000,0,0.00000000,0,24,0,6,2
2014-07,2014-07-01,9,0,0.00000000,0,0.00000000,0,25,0,7,3
2014-08,2014-08-01,2,0,0.00000000,0,0.00000000,0,26,0,8,3
2014-09,2014-09-01,8,0,0.00000000,0,0.00000000,0,27,0,9,3
2014-10,2014-10-01,2,0,0.00000000,0,0.00000000,0,28,0,10,4
2014-11,2014-11-01,1,0,0.00000000,0,0.00000000,0,29,0,11,4
2014-12,2014-12-01,12,0,0.00000000,0,0.00000000,0,30,0,12,4
2015-01,2015-01-01,9,0,0.00000000,0,0.00000000,0,31,0,1,1
2015-02,2015-02-01,7,0,0.00000000,0,0.00000000,0,32,0,2,1
2015-03,2015-03-01,3,1,0.33333333,1,0.33333333,0,33,0,3,1
2015-04,2015-04-01,16,1,0.06250000,1,0.06250000,0,34,0,4,2
2015-05,2015-05-01,10,0,0.00000000,0,0.00000000,0,35,0,5,2
2015-06,2015-06-01,6,0,0.00000000,0,0.00000000,0,36,0,6,2
2015-07,2015-07-01,15,0,0.00000000,0,0.00000000,0,37,0,7,3
2015-08,2015-08-01,11,0,0.00000000,0,0.00000000,0,38,0,8,3
2015-09,2015-09-01,23,0,0.00000000,0,0.00000000,0,39,0,9,3
2015-10,2015-10-01,33,0,0.00000000,0,0.00000000,0,40,0,10,4
2015-11,2015-11-01,8,0,0.00000000,0,0.00000000,0,41,0,11,4
2015-12,2015-12-01,11,0,0.00000000,0,0.00000000,0,42,0,12,4
2016-01,2016-01-01,20,0,0.00000000,0,0.00000000,0,43,0,1,1
2016-02,2016-02-01,11,0,0.00000000,0,0.00000000,0,44,0,2,1
2016-03,2016-03-01,15,1,0.06666667,1,0.06666667,0,45,0,3,1
2016-04,2016-04-01,22,1,0.04545455,1,0.04545455,0,46,0,4,2
2016-05,2016-05-01,19,1,0.05263158,1,0.05263158,0,47,0,5,2
2016-06,2016-06-01,20,0,0.00000000,0,0.00000000,0,48,0,6,2
2016-07,2016-07-01,16,0,0.00000000,0,0.00000000,0,49,0,7,3
2016-08,2016-08-01,14,0,0.00000000,0,0.00000000,0,50,0,8,3
2016-09,2016-09-01,10,0,0.00000000,0,0.00000000,0,51,0,9,3
2016-10,2016-10-01,14,1,0.07142857,1,0.07142857,0,52,0,10,4
2016-11,2016-11-01,21,1,0.04761905,1,0.04761905,0,53,0,11,4
2016-12,2016-12-01,11,1,0.09090909,1,0.09090909,0,54,0,12,4
2017-01,2017-01-01,22,0,0.00000000,0,0.00000000,0,55,0,1,1
2017-02,2017-02-01,14,0,0.00000000,0,0.00000000,0,56,0,2,1
2017-03,2017-03-01,17,1,0.05882353,1,0.05882353,0,57,0,3,1
2017-04,2017-04-01,26,0,0.00000000,0,0.00000000,0,58,0,4,2
2017-05,2017-05-01,16,0,0.00000000,0,0.00000000,0,59,0,5,2
2017-06,2017-06-01,17,0,0.00000000,0,0.00000000,0,60,0,6,2
2017-07,2017-07-01,21,1,0.04761905,1,0.04761905,0,61,0,7,3
2017-08,2017-08-01,8,1,0.12500000,1,0.12500000,0,62,0,8,3
2017-09,2017-09-01,10,0,0.00000000,0,0.00000000,0,63,0,9,3
2017-10,2017-10-01,4,1,0.25000000,1,0.25000000,0,64,0,10,4
2017-11,2017-11-01,4,0,0.00000000,0,0.00000000,0,65,0,11,4
2017-12,2017-12-01,0,0,,0,,0,66,0,12,4
2018-01,2018-01-01,0,0,,0,,0,67,0,1,1
2018-02,2018-02-01,14,0,0.00000000,0,0.00000000,0,68,0,2,1
2018-03,2018-03-01,20,0,0.00000000,0,0.00000000,0,69,0,3,1
2018-04,2018-04-01,19,1,0.05263158,1,0.05263158,0,70,0,4,2
2018-05,2018-05-01,14,0,0.00000000,0,0.00000000,0,71,0,5,2
2018-06,2018-06-01,27,0,0.00000000,0,0.00000000,0,72,0,6,2
2018-07,2018-07-01,38,0,0.00000000,0,0.00000000,0,73,0,7,3
2018-08,2018-08-01,25,1,0.04000000,1,0.04000000,0,74,0,8,3
2018-09,2018-09-01,43,1,0.02325581,1,0.02325581,0,75,0,9,3
2018-10,2018-10-01,40,0,0.00000000,0,0.00000000,0,76,0,10,4
2018-11,2018-11-01,44,0,0.00000000,0,0.00000000,0,77,0,11,4
2018-12,2018-12-01,32,0,0.00000000,0,0.00000000,0,78,0,12,4
2019-01,2019-01-01,40,0,0.00000000,0,0.00000000,0,79,0,1,1
2019-02,2019-02-01,40,0,0.00000000,0,0.00000000,0,80,0,2,1
2019-03,2019-03-01,52,1,0.01923077,1,0.01923077,0,81,0,3,1
2019-04,2019-04-01,35,1,0.02857143,1,0.02857143,0,82,0,4,2
2019-05,2019-05-01,60,2,0.03333333,2,0.03333333,0,83,0,5,2
2019-06,2019-06-01,33,0,0.00000000,0,0.00000000,0,84,0,6,2
2019-07,2019-07-01,50,1,0.02000000,1,0.02000000,0,85,0,7,3
2019-08,2019-08-01,27,0,0.00000000,0,0.00000000,0,86,0,8,3
2019-09,2019-09-01,31,2,0.06451613,3,0.09677419,0,87,0,9,3
2019-10,2019-10-01,43,0,0.00000000,0,0.00000000,0,88,0,10,4
2019-11,2019-11-01,52,2,0.03846154,2,0.03846154,0,89,0,11,4
2019-12,2019-12-01,29,0,0.00000000,0,0.00000000,0,90,0,12,4
2020-01,2020-01-01,53,0,0.00000000,0,0.00000000,0,91,0,1,1
2020-02,2020-02-01,47,1,0.02127660,2,0.04255319,0,92,0,2,1
2020-03,2020-03-01,91,2,0.02197802,2,0.02197802,0,93,0,3,1
2020-04,2020-04-01,51,2,0.03921569,2,0.03921569,0,94,0,4,2
