period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2012Q2,2012-04-01,quarterly,1,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012Q3,2012-07-01,quarterly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2012Q4,2012-10-01,quarterly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013Q1,2013-01-01,quarterly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013Q2,2013-04-01,quarterly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013Q3,2013-07-01,quarterly,8,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2013Q4,2013-10-01,quarterly,6,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014Q1,2014-01-01,quarterly,8,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014Q2,2014-04-01,quarterly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014Q3,2014-07-01,quarterly,19,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2014Q4,2014-10-01,quarterly,15,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015Q1,2015-01-01,quarterly,19,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.05263158,5.26316,1,0.05263158,5.26316
2015Q2,2015-04-01,quarterly,32,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.03125000,3.12500,1,0.03125000,3.12500
2015Q3,2015-07-01,quarterly,49,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2015Q4,2015-10-01,quarterly,52,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016Q1,2016-01-01,quarterly,46,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.02173913,2.17391
2016Q2,2016-04-01,quarterly,61,0,0,1,0.01639344,1.63934,1,0.01639344,1.63934,2,0.03278689,3.27869,2,0.03278689,3.27869
2016Q3,2016-07-01,quarterly,40,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2016Q4,2016-10-01,quarterly,46,0,0,1,0.02173913,2.17391,1,0.02173913,2.17391,3,0.06521739,6.52174,3,0.06521739,6.52174
2017Q1,2017-01-01,quarterly,53,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.01886792,1.88679,1,0.01886792,1.88679
2017Q2,2017-04-01,quarterly,59,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017Q3,2017-07-01,quarterly,39,0,0,1,0.02564103,2.56410,2,0.05128205,5.12821,2,0.05128205,5.12821,2,0.05128205,5.12821
2017Q4,2017-10-01,quarterly,8,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.12500000,12.50000,1,0.12500000,12.50000
2018Q1,2018-01-01,quarterly,34,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2018Q2,2018-04-01,quarterly,60,0,0,1,0.01666667,1.66667,1,0.01666667,1.66667,1,0.01666667,1.66667,1,0.01666667,1.66667
2018Q3,2018-07-01,quarterly,106,0,0,0,0.00000000,0.00000,1,0.00943396,0.94340,2,0.01886792,1.88679,2,0.01886792,1.88679
2018Q4,2018-10-01,quarterly,116,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2019Q1,2019-01-01,quarterly,132,0,0,1,0.00757576,0.75758,1,0.00757576,0.75758,1,0.00757576,0.75758,1,0.00757576,0.75758
2019Q2,2019-04-01,quarterly,128,0,0,2,0.01562500,1.56250,2,0.01562500,1.56250,3,0.02343750,2.34375,3,0.02343750,2.34375
2019Q3,2019-07-01,quarterly,108,0,0,1,0.00925926,0.92593,1,0.00925926,0.92593,3,0.02777778,2.77778,3,0.02777778,2.77778
2019Q4,2019-10-01,quarterly,124,0,0,1,0.00806452,0.80645,2,0.01612903,1.61290,2,0.01612903,1.61290,2,0.01612903,1.61290
2020Q1,2020-01-01,quarterly,191,0,0,1,0.00523560,0.52356,1,0.00523560,0.52356,3,0.01570681,1.57068,3,0.01570681,1.57068
2020Q2,2020-04-01,quarterly,156,0,0,2,0.01282051,1.28205,3,0.01923077,1.92308,4,0.02564103,2.56410,4,0.02564103,2.56410
2020Q3,2020-07-01,quarterly,148,0,0,1,0.00675676,0.67568,1,0.00675676,0.67568,1,0.00675676,0.67568,1,0.00675676,0.67568
2020Q4,2020-10-01,quarterly,74,0,0,0,0.00000000,0.00000,1,0.01351351,1.35135,2,0.02702703,2.70270,2,0.02702703,2.70270
2021Q1,2021-01-01,quarterly,221,0,0,1,0.00452489,0.45249,1,0.00452489,0.45249,3,0.01357466,1.35747,3,0.01357466,1.35747
2021Q2,2021-04-01,quarterly,124,0,0,1,0.00806452,0.80645,1,0.00806452,0.80645,2,0.01612903,1.61290,3,0.02419355,2.41935
2021Q3,2021-07-01,quarterly,78,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2021Q4,2021-10-01,quarterly,123,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022Q1,2022-01-01,quarterly,179,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.00558659,0.55866,2,0.01117318,1.11732
2022Q2,2022-04-01,quarterly,171,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2022Q3,2022-07-01,quarterly,220,0,0,3,0.01363636,1.36364,4,0.01818182,1.81818,5,0.02272727,2.27273,5,0.02272727,2.27273
