quarter,period_start,N_q,D52_q,Rate52_q,D55_q,Rate55_q,Post,Time,TimeAfter,month_of_year,quarter_of_year
2012Q2,2012-04-01,1,0,0.00000000,0,0.00000000,0,0,0,4,2
2012Q3,2012-07-01,6,0,0.00000000,0,0.00000000,0,1,0,7,3
2012Q4,2012-10-01,6,0,0.00000000,0,0.00000000,0,2,0,10,4
2013Q1,2013-01-01,6,0,0.00000000,0,0.00000000,0,3,0,1,1
2013Q2,2013-04-01,6,0,0.00000000,0,0.00000000,0,4,0,4,2
2013Q3,2013-07-01,8,0,0.00000000,0,0.00000000,0,5,0,7,3
2013Q4,2013-10-01,6,0,0.00000000,0,0.00000000,0,6,0,10,4
2014Q1,2014-01-01,8,0,0.00000000,0,0.00000000,0,7,0,1,1
2014Q2,2014-04-01,4,0,0.00000000,0,0.00000000,0,8,0,4,2
2014Q3,2014-07-01,19,0,0.00000000,0,0.00000000,0,9,0,7,3
2014Q4,2014-10-01,15,0,0.00000000,0,0.00000000,0,10,0,10,4
2015Q1,2015-01-01,19,1,0.05263158,1,0.05263158,0,11,0,1,1
2015Q2,2015-04-01,32,1,0.03125000,1,0.03125000,0,12,0,4,2
2015Q3,2015-07-01,49,0,0.00000000,0,0.00000000,0,13,0,7,3
2015Q4,2015-10-01,52,0,0.00000000,0,0.00000000,0,14,0,10,4
2016Q1,2016-01-01,46,1,0.02173913,1,0.02173913,0,15,0,1,1
2016Q2,2016-04-01,61,2,0.03278689,2,0.03278689,0,16,0,4,2
2016Q3,2016-07-01,40,0,0.00000000,0,0.00000000,0,17,0,7,3
2016Q4,2016-10-01,46,3,0.06521739,3,0.06521739,0,18,0,10,4
2017Q1,2017-01-01,53,1,0.01886792,1,0.01886792,0,19,0,1,1
2017Q2,2017-04-01,59,0,0.00000000,0,0.00000000,0,20,0,4,2
2017Q3,2017-07-01,39,2,0.05128205,2,0.05128205,0,21,0,7,3
2017Q4,2017-10-01,8,1,0.12500000,1,0.12500000,0,22,0,10,4
2018Q1,2018-01-01,34,0,0.00000000,0,0.00000000,0,23,0,1,1
2018Q2,2018-04-01,60,1,0.01666667,1,0.01666667,0,24,0,4,2
2018Q3,2018-07-01,106,2,0.01886792,2,0.01886792,0,25,0,7,3
2018Q4,2018-10-01,116,0,0.00000000,0,0.00000000,0,26,0,10,4
2019Q1,2019-01-01,132,1,0.00757576,1,0.00757576,0,27,0,1,1
2019Q2,2019-04-01,128,3,0.02343750,3,0.02343750,0,28,0,4,2
2019Q3,2019-07-01,108,3,0.02777778,4,0.03703704,0,29,0,7,3
2019Q4,2019-10-01,124,2,0.01612903,2,0.01612903,0,30,0,10,4
2020Q1,2020-01-01,191,3,0.01570681,4,0.02094241,0,31,0,1,1
2020Q2,2020-04-01,156,4,0.02564103,4,0.02564103,0,32,0,4,2
2020Q3,2020-07-01,148,1,0.00675676,1,0.00675676,0,33,0,7,3
2020Q4,2020-10-01,74,2,0.02702703,2,0.02702703,0,34,0,10,4
2021Q1,2021-01-01,221,3,0.01357466,3,0.01357466,0,35,0,1,1
2021Q2,2021-04-01,124,3,0.02419355,3,0.02419355,0,36,0,4,2
2021Q3,2021-07-01,78,0,0.00000000,0,0.00000000,0,37,0,7,3
2021Q4,2021-10-01,123,0,0.00000000,0,0.00000000,0,38,0,10,4
2022Q1,2022-01-01,179,2,0.01117318,2,0.01117318,0,39,0,1,1
2022Q2,2022-04-01,171,0,0.00000000,0,0.00000000,0,40,0,4,2
2022Q3,2022-07-01,220,5,0.02272727,5,0.02272727,0,41,0,7,3
2022Q4,2022-10-01,181,0,0.00000000,0,0.00000000,0,42,0,10,4
2023Q1,2023-01-01,180,0,0.00000000,0,0.00000000,0,43,0,1,1
2023Q2,2023-04-01,197,1,0.00507614,1,0.00507614,0,44,0,4,2
2023Q3,2023-07-01,177,1,0.00564972,1,0.00564972,0,45,0,7,3
2023Q4,2023-10-01,188,0,0.00000000,0,0.00000000,0,46,0,10,4
2024Q1,2024-01-01,209,1,0.00478469,2,0.00956938,0,47,0,1,1
2024Q2,2024-04-01,115,0,0.00000000,0,0.00000000,0,48,0,4,2
2024Q3,2024-07-01,4,0,0.00000000,0,0.00000000,1,49,0,7,3
2024Q4,2024-10-01,470,0,0.00000000,0,0.00000000,1,50,1,10,4
2025Q1,2025-01-01,320,0,0.00000000,0,0.00000000,1,51,2,1,1
2025Q2,2025-04-01,467,0,0.00000000,0,0.00000000,1,52,3,4,2
2025Q3,2025-07-01,473,1,0.00211416,1,0.00211416,1,53,4,7,3
2025Q4,2025-10-01,402,1,0.00248756,1,0.00248756,1,54,5,10,4
2026Q1,2026-01-01,405,0,0.00000000,0,0.00000000,1,55,6,1,1
2026Q2,2026-04-01,63,0,0.00000000,0,0.00000000,1,56,7,4,2
2026Q3,2026-07-01,2,0,0.00000000,0,0.00000000,1,57,8,7,3
