linkage_sample,application_sample,model,coefficient,n_applications,estimate,estimate_percentage_points,robust_se,robust_se_percentage_points,p_value,ci_low,ci_high,inference,warning
strict_21,full_start_date_universe,LPM: Leak_i on PostJuly2024_i,PostJuly2024,6935,-0.00423263,-0.4233,0.00109941,0.1099,0.000118,-0.00638748,-0.00207779,OLS HC1 robust SE,
strict_21,full_start_date_universe,LPM: plus smooth start-month trend,PostJuly2024,6935,-0.00241857,-0.2419,0.00167184,0.1672,0.147996,-0.00569538,0.00085824,OLS HC1 robust SE,
strict_21,full_start_date_universe,LPM: plus smooth start-month trend,StartMonthIndex,6935,-0.00003281,-0.0033,0.00002864,0.0029,0.252007,-0.00008895,0.00002333,OLS HC1 robust SE,
main_27,full_start_date_universe,LPM: Leak_i on PostJuly2024_i,PostJuly2024,6935,-0.00561767,-0.5618,0.00123496,0.1235,0.000005,-0.00803819,-0.00319715,OLS HC1 robust SE,
main_27,full_start_date_universe,LPM: plus smooth start-month trend,PostJuly2024,6935,-0.00292584,-0.2926,0.00180358,0.1804,0.104752,-0.00646086,0.00060918,OLS HC1 robust SE,
main_27,full_start_date_universe,LPM: plus smooth start-month trend,StartMonthIndex,6935,-0.00004869,-0.0049,0.00003159,0.0032,0.123297,-0.00011061,0.00001323,OLS HC1 robust SE,
archived_broad_48,full_start_date_universe,LPM: Leak_i on PostJuly2024_i,PostJuly2024,6935,-0.00985031,-0.9850,0.00164952,0.1650,0.000000,-0.01308337,-0.00661725,OLS HC1 robust SE,
archived_broad_48,full_start_date_universe,LPM: plus smooth start-month trend,PostJuly2024,6935,-0.00152452,-0.1525,0.00243606,0.2436,0.531439,-0.00629920,0.00325017,OLS HC1 robust SE,
archived_broad_48,full_start_date_universe,LPM: plus smooth start-month trend,StartMonthIndex,6935,-0.00015058,-0.0151,0.00004823,0.0048,0.001796,-0.00024512,-0.00005605,OLS HC1 robust SE,
final_expanded,full_start_date_universe,LPM: Leak_i on PostJuly2024_i,PostJuly2024,6935,-0.01077367,-1.0774,0.00171155,0.1712,0.000000,-0.01412831,-0.00741903,OLS HC1 robust SE,
final_expanded,full_start_date_universe,LPM: plus smooth start-month trend,PostJuly2024,6935,-0.00238911,-0.2389,0.00262718,0.2627,0.363148,-0.00753838,0.00276016,OLS HC1 robust SE,
final_expanded,full_start_date_universe,LPM: plus smooth start-month trend,StartMonthIndex,6935,-0.00015165,-0.0152,0.00005080,0.0051,0.002835,-0.00025122,-0.00005208,OLS HC1 robust SE,
strict_21,drop_recent_12m,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5839,-0.00461681,-0.4617,0.00103014,0.1030,0.000007,-0.00663588,-0.00259773,OLS HC1 robust SE,
strict_21,drop_recent_12m,LPM: plus smooth start-month trend,PostJuly2024,5839,-0.00283582,-0.2836,0.00157300,0.1573,0.071418,-0.00591890,0.00024726,OLS HC1 robust SE,
strict_21,drop_recent_12m,LPM: plus smooth start-month trend,StartMonthIndex,5839,-0.00003462,-0.0035,0.00002903,0.0029,0.233106,-0.00009153,0.00002229,OLS HC1 robust SE,
main_27,drop_recent_12m,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5839,-0.00600185,-0.6002,0.00117372,0.1174,0.000000,-0.00830234,-0.00370135,OLS HC1 robust SE,
main_27,drop_recent_12m,LPM: plus smooth start-month trend,PostJuly2024,5839,-0.00339222,-0.3392,0.00170165,0.1702,0.046209,-0.00672746,-0.00005698,OLS HC1 robust SE,
main_27,drop_recent_12m,LPM: plus smooth start-month trend,StartMonthIndex,5839,-0.00005073,-0.0051,0.00003203,0.0032,0.113250,-0.00011351,0.00001205,OLS HC1 robust SE,
archived_broad_48,drop_recent_12m,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5839,-0.00995508,-0.9955,0.00169299,0.1693,0.000000,-0.01327333,-0.00663683,OLS HC1 robust SE,
archived_broad_48,drop_recent_12m,LPM: plus smooth start-month trend,PostJuly2024,5839,-0.00207585,-0.2076,0.00234561,0.2346,0.376159,-0.00667324,0.00252154,OLS HC1 robust SE,
archived_broad_48,drop_recent_12m,LPM: plus smooth start-month trend,StartMonthIndex,5839,-0.00015317,-0.0153,0.00004894,0.0049,0.001751,-0.00024910,-0.00005724,OLS HC1 robust SE,
final_expanded,drop_recent_12m,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5839,-0.01087844,-1.0878,0.00175348,0.1753,0.000000,-0.01431527,-0.00744162,OLS HC1 robust SE,
final_expanded,drop_recent_12m,LPM: plus smooth start-month trend,PostJuly2024,5839,-0.00294374,-0.2944,0.00252705,0.2527,0.244064,-0.00789676,0.00200929,OLS HC1 robust SE,
final_expanded,drop_recent_12m,LPM: plus smooth start-month trend,StartMonthIndex,5839,-0.00015425,-0.0154,0.00005155,0.0052,0.002769,-0.00025528,-0.00005321,OLS HC1 robust SE,
strict_21,its_primary_2019_2025,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5560,-0.00419998,-0.4200,0.00125549,0.1255,0.000822,-0.00666075,-0.00173922,OLS HC1 robust SE,
strict_21,its_primary_2019_2025,LPM: plus smooth start-month trend,PostJuly2024,5560,0.00088746,0.0887,0.00246924,0.2469,0.719290,-0.00395225,0.00572718,OLS HC1 robust SE,
strict_21,its_primary_2019_2025,LPM: plus smooth start-month trend,StartMonthIndex,5560,-0.00012339,-0.0123,0.00006779,0.0068,0.068724,-0.00025626,0.00000947,OLS HC1 robust SE,
main_27,its_primary_2019_2025,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5560,-0.00536718,-0.5367,0.00138325,0.1383,0.000104,-0.00807836,-0.00265601,OLS HC1 robust SE,
main_27,its_primary_2019_2025,LPM: plus smooth start-month trend,PostJuly2024,5560,0.00129752,0.1298,0.00261964,0.2620,0.620387,-0.00383698,0.00643202,OLS HC1 robust SE,
main_27,its_primary_2019_2025,LPM: plus smooth start-month trend,StartMonthIndex,5560,-0.00016165,-0.0162,0.00007334,0.0073,0.027521,-0.00030540,-0.00001790,OLS HC1 robust SE,
archived_broad_48,its_primary_2019_2025,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5560,-0.00839997,-0.8400,0.00177189,0.1772,0.000002,-0.01187287,-0.00492707,OLS HC1 robust SE,
archived_broad_48,its_primary_2019_2025,LPM: plus smooth start-month trend,PostJuly2024,5560,0.00388456,0.3885,0.00303872,0.3039,0.201124,-0.00207133,0.00984045,OLS HC1 robust SE,
archived_broad_48,its_primary_2019_2025,LPM: plus smooth start-month trend,StartMonthIndex,5560,-0.00029796,-0.0298,0.00008957,0.0090,0.000879,-0.00047351,-0.00012241,OLS HC1 robust SE,
final_expanded,its_primary_2019_2025,LPM: Leak_i on PostJuly2024_i,PostJuly2024,5560,-0.00927537,-0.9275,0.00184123,0.1841,0.000000,-0.01288418,-0.00566656,OLS HC1 robust SE,
final_expanded,its_primary_2019_2025,LPM: plus smooth start-month trend,PostJuly2024,5560,0.00251923,0.2519,0.00318923,0.3189,0.429576,-0.00373166,0.00877011,OLS HC1 robust SE,
final_expanded,its_primary_2019_2025,LPM: plus smooth start-month trend,StartMonthIndex,5560,-0.00028607,-0.0286,0.00009087,0.0091,0.001644,-0.00046419,-0.00010796,OLS HC1 robust SE,
