outcome,outcome_label,coefficient,estimate_beta,clustered_se,z,p_value,ci_low,ci_high,coefficient_status,n_applications,analytic_universe_applications,start_month_clusters,month_of_year_fixed_effects,inference,source_membership_applications,analytic_positive_applications
Leak52,Curated 52 attribution outcome,Intercept,-3.55914512,0.48454107,-7.345394,2.05154e-13,-4.50884562,-2.60944461,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,Time,-0.01286870,0.00302005,-4.261086,2.03436e-05,-0.01878801,-0.00694940,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,PostJuly2024,-3.59749730,1.27399148,-2.823800,0.0047458,-6.09452059,-1.10047401,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,TimeAfterJuly2024,0.13095629,0.08079367,1.620873,0.105045,-0.02739929,0.28931188,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_01,,,,,,,omitted_perfect_zero_prediction,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_02,,,,,,,reference_month_omitted,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_03,0.84160805,0.44490769,1.891646,0.0585381,-0.03041103,1.71362713,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_04,0.54198216,0.53249807,1.017811,0.308768,-0.50171405,1.58567837,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_05,0.51617288,0.53531460,0.964242,0.334925,-0.53304375,1.56538950,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_06,0.24633354,0.63140500,0.390136,0.696436,-0.99122025,1.48388733,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_07,-0.10875180,0.62312290,-0.174527,0.861451,-1.33007268,1.11256908,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_08,0.90432433,0.52410390,1.725468,0.0844432,-0.12291931,1.93156797,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_09,0.59191767,0.55291447,1.070541,0.284376,-0.49179469,1.67563002,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_10,-0.40466304,0.83347841,-0.485511,0.627314,-2.03828073,1.22895465,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_11,0.48184559,0.63293414,0.761289,0.446485,-0.75870533,1.72239650,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak52,Curated 52 attribution outcome,month_12,-0.11624808,0.82146719,-0.141513,0.887465,-1.72632377,1.49382761,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",52,52
Leak55,Broad 55 attribution outcome,Intercept,-3.12553344,0.45370083,-6.888974,5.6196e-12,-4.01478708,-2.23627981,estimated,6284,6935,149,yes,"Poisson QMLE, CR1 sandwich SE clustered by application start month",55,55
