outcome,outcome_label,coefficient,inference,estimate_beta,se,z,p_value,ci_low,ci_high,n_applications,analytic_universe_applications,start_month_clusters
Leak52,Curated 52 attribution outcome,Time,primary_CR1_start_month_clustered,-0.01286870,0.00302005,-4.261086,2.03436e-05,-0.01878801,-0.00694940,6284,6935,149
Leak52,Curated 52 attribution outcome,Time,secondary_HC1_unclustered_sandwich,-0.01286870,0.00341908,-3.763796,0.000167353,-0.01957009,-0.00616732,6284,6935,149
Leak52,Curated 52 attribution outcome,PostJuly2024,primary_CR1_start_month_clustered,-3.59749730,1.27399148,-2.823800,0.0047458,-6.09452059,-1.10047401,6284,6935,149
Leak52,Curated 52 attribution outcome,PostJuly2024,secondary_HC1_unclustered_sandwich,-3.59749730,1.20807657,-2.977872,0.00290257,-5.96532738,-1.22966722,6284,6935,149
Leak52,Curated 52 attribution outcome,TimeAfterJuly2024,primary_CR1_start_month_clustered,0.13095629,0.08079367,1.620873,0.105045,-0.02739929,0.28931188,6284,6935,149
Leak52,Curated 52 attribution outcome,TimeAfterJuly2024,secondary_HC1_unclustered_sandwich,0.13095629,0.06383231,2.051568,0.0402117,0.00584497,0.25606761,6284,6935,149
Leak55,Broad 55 attribution outcome,Time,primary_CR1_start_month_clustered,-0.01199141,0.00293324,-4.088113,4.34896e-05,-0.01774055,-0.00624226,6284,6935,149
Leak55,Broad 55 attribution outcome,Time,secondary_HC1_unclustered_sandwich,-0.01199141,0.00336239,-3.566331,0.000362014,-0.01858169,-0.00540112,6284,6935,149
Leak55,Broad 55 attribution outcome,PostJuly2024,primary_CR1_start_month_clustered,-3.66791388,1.26982965,-2.888509,0.00387073,-6.15677999,-1.17904778,6284,6935,149
Leak55,Broad 55 attribution outcome,PostJuly2024,secondary_HC1_unclustered_sandwich,-3.66791388,1.20490355,-3.044156,0.00233334,-6.02952483,-1.30630293,6284,6935,149
Leak55,Broad 55 attribution outcome,TimeAfterJuly2024,primary_CR1_start_month_clustered,0.12679122,0.07985524,1.587763,0.11234,-0.02972504,0.28330749,6284,6935,149
Leak55,Broad 55 attribution outcome,TimeAfterJuly2024,secondary_HC1_unclustered_sandwich,0.12679122,0.06379106,1.987602,0.0468557,0.00176076,0.25182169,6284,6935,149
Leak269,Candidate-inclusive upper-bound attribution outcome,Time,primary_CR1_start_month_clustered,-0.00647057,0.00194956,-3.318992,0.00090343,-0.01029170,-0.00264943,6935,6935,162
Leak269,Candidate-inclusive upper-bound attribution outcome,Time,secondary_HC1_unclustered_sandwich,-0.00647057,0.00198173,-3.265103,0.00109424,-0.01035476,-0.00258637,6935,6935,162
Leak269,Candidate-inclusive upper-bound attribution outcome,PostJuly2024,primary_CR1_start_month_clustered,-0.48298098,0.27471183,-1.758137,0.0787242,-1.02141616,0.05545421,6935,6935,162
Leak269,Candidate-inclusive upper-bound attribution outcome,PostJuly2024,secondary_HC1_unclustered_sandwich,-0.48298098,0.31657142,-1.525662,0.127094,-1.10346095,0.13749900,6935,6935,162
Leak269,Candidate-inclusive upper-bound attribution outcome,TimeAfterJuly2024,primary_CR1_start_month_clustered,0.03639967,0.01858740,1.958298,0.050195,-0.00003163,0.07283096,6935,6935,162
Leak269,Candidate-inclusive upper-bound attribution outcome,TimeAfterJuly2024,secondary_HC1_unclustered_sandwich,0.03639967,0.02153590,1.690186,0.0909925,-0.00581070,0.07861003,6935,6935,162
