frequency,linkage_sample,application_sample,model,coefficient,n_periods,estimate,estimate_percentage_points,std_error,std_error_percentage_points,p_value,ci_low,ci_high,irr,inference,warning
monthly,strict_21,primary_2019_2025,OLS rate segmented ITS,Time,83,-0.00013235,-0.0132,0.00003689,0.0037,0.000334,-0.00020465,-0.00006005,,OLS Newey-West HAC lag 3,
monthly,strict_21,primary_2019_2025,OLS rate segmented ITS,PostJuly2024,83,-0.00089433,-0.0894,0.00230567,0.2306,0.698102,-0.00541346,0.00362479,,OLS Newey-West HAC lag 3,
monthly,strict_21,primary_2019_2025,OLS rate segmented ITS,TimeAfterJuly2024,83,0.00029618,0.0296,0.00020412,0.0204,0.146790,-0.00010391,0.00069626,,OLS Newey-West HAC lag 3,
monthly,strict_21,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,Time,83,,,,,,,,,,singular regression matrix
monthly,strict_21,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,83,,,,,,,,,,singular regression matrix
monthly,strict_21,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,83,,,,,,,,,,singular regression matrix
monthly,main_27,primary_2019_2025,OLS rate segmented ITS,Time,83,-0.00017311,-0.0173,0.00004484,0.0045,0.000113,-0.00026100,-0.00008523,,OLS Newey-West HAC lag 3,
monthly,main_27,primary_2019_2025,OLS rate segmented ITS,PostJuly2024,83,-0.00068328,-0.0683,0.00246501,0.2465,0.781634,-0.00551470,0.00414815,,OLS Newey-West HAC lag 3,
monthly,main_27,primary_2019_2025,OLS rate segmented ITS,TimeAfterJuly2024,83,0.00030825,0.0308,0.00018916,0.0189,0.103194,-0.00006251,0.00067901,,OLS Newey-West HAC lag 3,
monthly,main_27,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,Time,83,,,,,,,,,,singular regression matrix
monthly,main_27,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,83,,,,,,,,,,singular regression matrix
monthly,main_27,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,83,,,,,,,,,,singular regression matrix
monthly,archived_broad_48,primary_2019_2025,OLS rate segmented ITS,Time,83,-0.00030918,-0.0309,0.00005913,0.0059,0.000000,-0.00042506,-0.00019329,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,primary_2019_2025,OLS rate segmented ITS,PostJuly2024,83,0.00024733,0.0247,0.00301059,0.3011,0.934525,-0.00565343,0.00614808,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,primary_2019_2025,OLS rate segmented ITS,TimeAfterJuly2024,83,0.00053645,0.0536,0.00022682,0.0227,0.018023,0.00009189,0.00098101,,OLS Newey-West HAC lag 3,
monthly,archived_broad_48,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,Time,83,,,,,,,,,,singular regression matrix
monthly,archived_broad_48,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,83,,,,,,,,,,singular regression matrix
monthly,archived_broad_48,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,TimeAfterJuly2024,83,,,,,,,,,,singular regression matrix
monthly,final_expanded,primary_2019_2025,OLS rate segmented ITS,Time,83,-0.00030053,-0.0301,0.00005883,0.0059,0.000000,-0.00041583,-0.00018524,,OLS Newey-West HAC lag 3,
monthly,final_expanded,primary_2019_2025,OLS rate segmented ITS,PostJuly2024,83,-0.00048266,-0.0483,0.00300967,0.3010,0.872589,-0.00638163,0.00541630,,OLS Newey-West HAC lag 3,
monthly,final_expanded,primary_2019_2025,OLS rate segmented ITS,TimeAfterJuly2024,83,0.00051381,0.0514,0.00023351,0.0234,0.027781,0.00005613,0.00097148,,OLS Newey-West HAC lag 3,
monthly,final_expanded,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,Time,83,,,,,,,,,,singular regression matrix
monthly,final_expanded,primary_2019_2025,Poisson QMLE count/rate ITS with log(N_t) offset,PostJuly2024,83,,,,,,,,,,singular regression matrix
