linkage_sample,application_sample,pre_applications,pre_leakage_risk_applications,pre_leakage_rate,pre_leakage_rate_percent,pre_rate_ci_low,pre_rate_ci_high,post_applications,post_leakage_risk_applications,post_leakage_rate,post_leakage_rate_percent,post_rate_ci_low,post_rate_ci_high,difference_post_minus_pre,difference_percentage_points,difference_ci_low,difference_ci_high,ratio_post_pre,two_proportion_z,two_proportion_p_value,policy_cutoff
strict_21,full_start_date_universe,4332,20,0.00461681,0.4617,0.00299070,0.00712074,2603,1,0.00038417,0.0384,0.00006782,0.00217306,-0.00423263,-0.4233,-0.00638717,-0.00207810,0.083212,-3.106282,0.00189456,2024-07-05
main_27,full_start_date_universe,4332,26,0.00600185,0.6002,0.00409916,0.00877991,2603,1,0.00038417,0.0384,0.00006782,0.00217306,-0.00561767,-0.5618,-0.00803785,-0.00319750,0.064009,-3.637501,0.00027530,2024-07-05
archived_broad_48,full_start_date_universe,4332,46,0.01061865,1.0619,0.00797064,0.01413386,2603,2,0.00076834,0.0768,0.00021073,0.00279736,-0.00985031,-0.9850,-0.01308290,-0.00661771,0.072358,-4.790917,0.00000166,2024-07-05
final_expanded,full_start_date_universe,4332,50,0.01154201,1.1542,0.00876611,0.01518347,2603,2,0.00076834,0.0768,0.00021073,0.00279736,-0.01077367,-1.0774,-0.01412782,-0.00741951,0.066569,-5.035906,0.00000048,2024-07-05
strict_21,drop_recent_12m,4332,20,0.00461681,0.4617,0.00299070,0.00712074,1507,0,0.00000000,0.0000,0.00000000,0.00254269,-0.00461681,-0.4617,-0.00663553,-0.00259808,0.000000,-2.642241,0.00823594,2024-07-05
main_27,drop_recent_12m,4332,26,0.00600185,0.6002,0.00409916,0.00877991,1507,0,0.00000000,0.0000,0.00000000,0.00254269,-0.00600185,-0.6002,-0.00830195,-0.00370174,0.000000,-3.014173,0.00257681,2024-07-05
archived_broad_48,drop_recent_12m,4332,46,0.01061865,1.0619,0.00797064,0.01413386,1507,1,0.00066357,0.0664,0.00011714,0.00374931,-0.00995508,-0.9955,-0.01327276,-0.00663740,0.062491,-3.725218,0.00019515,2024-07-05
final_expanded,drop_recent_12m,4332,50,0.01154201,1.1542,0.00876611,0.01518347,1507,1,0.00066357,0.0664,0.00011714,0.00374931,-0.01087844,-1.0878,-0.01431468,-0.00744221,0.057492,-3.909196,0.00009260,2024-07-05
strict_21,its_primary_2019_2025,3427,16,0.00466881,0.4669,0.00287589,0.00757099,2133,1,0.00046882,0.0469,0.00008276,0.00265099,-0.00419998,-0.4200,-0.00666030,-0.00173966,0.100416,-2.758294,0.00581039,2024-07-05
main_27,its_primary_2019_2025,3427,20,0.00583601,0.5836,0.00378113,0.00899755,2133,1,0.00046882,0.0469,0.00008276,0.00265099,-0.00536718,-0.5367,-0.00807788,-0.00265649,0.080333,-3.172569,0.00151097,2024-07-05
archived_broad_48,its_primary_2019_2025,3427,32,0.00933761,0.9338,0.00662209,0.01315195,2133,2,0.00093765,0.0938,0.00025717,0.00341255,-0.00839997,-0.8400,-0.01187224,-0.00492769,0.100416,-3.906812,0.00009352,2024-07-05
final_expanded,its_primary_2019_2025,3427,35,0.01021301,1.0213,0.00735267,0.01417022,2133,2,0.00093765,0.0938,0.00025717,0.00341255,-0.00927537,-0.9275,-0.01288353,-0.00566721,0.091809,-4.136496,0.00003526,2024-07-05
