family_id,repo_owner,repo_name,repo_url,related_repo_urls,lineage_ids,lineage_count,notice_id,targeted_row_count,current_automated_status,candidate_application_ids,review_status,final_application_id,evidence_type,confidence,final_sample_action,evidence_urls,review_notes
family_ukbb-gwas-dev,LingTuo,UKBB_GWAS_dev,https://github.com/LingTuo/UKBB_GWAS_dev,https://github.com/LingTuo/UKBB_GWAS_dev; https://github.com/ashwinas88/UKBB_GWAS_dev,lineage_ashwinas88_ukbb_gwas_dev; lineage_lingtuo_ukbb_gwas_dev,2,2025-08-25-ukbiobank,670,unresolved,32285; 36827,unresolved,,publication/application leads without a repository-owner bridge,unresolved,do_not_add,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/uk-biobank-infectious-disease-genetics-study,"Prior manual round explicitly left UKBB_GWAS_dev unfrozen. Public evidence supports UKB applications/papers in nearby GWAS areas, but not the target repo owners/family."
family_cnv-ukb,GeneticResources,cnv-ukb,https://github.com/GeneticResources/cnv-ukb,https://github.com/GeneticResources/cnv-ukb,lineage_geneticresources_cnv-ukb,1,2025-10-02-uk-biobank-4,1,unresolved,40980; 24898; 68574; 68601; 82094,ambiguous,,multiple plausible CNV UKB applications,ambiguous,do_not_add,,"Public CNV/UKB evidence points to several applications; no direct application ID, repo-publication chain, or identity bridge uniquely identifies the targeted repository family."
family_ukbbcov2risk,kennethcywong,ukbbcov2risk,https://github.com/kennethcywong/ukbbcov2risk,https://github.com/kennethcywong/ukbbcov2risk,lineage_kennethcywong_ukbbcov2risk,1,2025-11-07-uk-biobank-4,1,unresolved,,unresolved,,generic COVID-19 risk topic only,unresolved,do_not_add,,Search did not recover a direct application number or repository-linked publication/application chain for kennethcywong/ukbbcov2risk.
family_ukbbmriutils,STALICLA-RnD,UkbbMriUtils,https://github.com/STALICLA-RnD/UkbbMriUtils,https://github.com/STALICLA-RnD/UkbbMriUtils,lineage_stalicla-rnd_ukbbmriutils,1,2026-04-08-uk-biobank,2,unresolved,89197,new_application_linked,89197,organization/project/topic consistency plus public UKB project evidence,probable,add_new_application,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/effects-of-copy-number-variants-on-the-morphological-structure-of-the-brain-across-multiple-brain-disorders,STALICLA-RnD repository family aligns with the STALICLA application on CNV effects on brain morphology. Public project metadata gives UKB application 89197 and start date 2023-06-29.
family_t40-rsfmri,Kakashi-sensei,T40_rsfMRI,https://github.com/Kakashi-sensei/T40_rsfMRI,https://github.com/Kakashi-sensei/T40_rsfMRI,lineage_kakashi-sensei_t40_rsfmri,1,2026-03-27-uk-biobank,4,unresolved,25057,unresolved,,paper app lead without owner identity bridge,unresolved,do_not_add,,"A TOMM40/APOE resting-state fMRI paper reports UKB application 25057, but the target owner is pseudonymous and public evidence does not bridge the repo to the paper team."
family_ukb-bmi,mariaratnasamy,ukb_bmi,https://github.com/mariaratnasamy/ukb_bmi,https://github.com/mariaratnasamy/ukb_bmi,lineage_mariaratnasamy_ukb_bmi,1,2025-12-10-uk-biobank-2,20,unresolved,48799,unresolved,,legacy application clue not in current start-date universe,unresolved,do_not_add,,"Historical review noted application 48799, but this ID is not present in the current start-date application universe and no stronger public chain was recovered."
family_divergence-pipeline,AdrianHarris96,Divergence_Pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,https://github.com/AdrianHarris96/Divergence_Pipeline,lineage_adrianharris96_divergence_pipeline,1,2026-03-31-uk-biobank-2,1,unresolved,17984,new_application_linked,17984,author/project/topic consistency plus public UKB project evidence,probable,add_new_application,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/genotype-environment-interactions-and-sub-classification-of-disease,"The AdrianHarris96 Divergence_Pipeline lead is consistent with Adrian M. Harris, the Georgia Tech divergence/Gini work, and UKB application 17984. The chain is credible but not a direct repo README app-ID match."
family_genepy-2,parsboy1987,GenePy-2,https://github.com/parsboy1987/GenePy-2,https://github.com/parsboy1987/GenePy-2,lineage_parsboy1987_genepy-2,1,2025-11-14-uk-biobank-2,1,unresolved,72911,new_application_linked,72911,repo-publication-UKB application chain,confirmed,add_new_application,https://www.ukbiobank.ac.uk/enable-your-research/publications/stratification-of-inflammatory-bowel-disease-by-integrating-genomic-data-and-biological-pathways-using-the-genepy-approach; https://github.com/UoS-HGIG/GenePy-2,The GenePy-2 project has a public repo-publication chain and UKB publication metadata reports application 72911.
family_gwas-phenotype,albbaous,GWAS_phenotype,https://github.com/albbaous/GWAS_phenotype,https://github.com/albbaous/GWAS_phenotype,lineage_albbaous_gwas_phenotype,1,2026-03-25-uk-biobank-2,2,unresolved,22418,unresolved,,"candidate is a UKB field/resource ID, not an application",unresolved,do_not_add,,The historical 22418 lead is not treated as a UKB application ID; no replacement direct application evidence was recovered.
family_uk-biobank-study-1,xx2383,UK-Biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,https://github.com/xx2383/UK-Biobank-study-1,lineage_xx2383_uk-biobank-study-1,1,2025-10-15-uk-biobank; 2025-10-15-uk-biobank-6,2,unresolved,84709,new_application_linked,84709,repo-publication-UKB application chain,confirmed,add_new_application,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/risk-and-prognosis-factors-of-cardiovascular-disease-on-different-genetic-background-and-exposures,Prior repository metadata tied xx2383/UK-Biobank-study-1 to DOI 10.1016/j.crtox.2025.100226. The linked UKB project page reports application 84709 and a related publication on the same exposure/outcome chain.
family_ukb-gen-clocks,Euskal-Oxcitas-Biotek,UKB-gen-clocks,https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks,https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks,lineage_euskal-oxcitas-biotek_ukb-gen-clocks,1,2025-09-19-uk-biobank,1,confirmed,29256,excluded_false_positive,,automated propagation false positive,unresolved,do_not_add,,Current automated matcher propagated application 29256 through weak publication/topic signals. Manual review treats this as a false positive for UKB-gen-clocks and does not add 29256.
family_pain-proteomics,Frank-HQZ,Pain_Proteomics,https://github.com/Frank-HQZ/Pain_Proteomics,https://github.com/Frank-HQZ/Pain_Proteomics,lineage_frank-hqz_pain_proteomics,1,2025-10-15-uk-biobank-3,1,unresolved,19542,linked_to_existing_baseline,19542,paper text/application chain to an existing baseline app,confirmed,link_existing_baseline_application,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/identifying-multi-level-biomarkers-and-disease-mechanisms-for-major-mental-disorders,"Pain proteomics public paper evidence reports UKB application 19542, already present in the fixed broad-48 baseline."
family_mh-in-ukb,tongluobing,MH_in_UKB,https://github.com/tongluobing/MH_in_UKB,https://github.com/tongluobing/MH_in_UKB,lineage_tongluobing_mh_in_ukb,1,2025-10-20-uk-biobank-2,1,unresolved,47267,linked_to_existing_baseline,47267,repo-publication-application chain to an existing baseline app,confirmed,link_existing_baseline_application,https://github.com/PersonomicsLab/MH_in_UKB; https://www.ukbiobank.ac.uk/enable-your-research/approved-research/cross-diagnostic-and-cross-platform-multimodal-analysis-of-uk-biobank-imaging-data,"The MH_in_UKB code availability chain and paper evidence link to UKB application 47267, already present in the fixed broad-48 baseline."
family_uk-biobank-survival,gerstung-lab,uk_biobank_survival,https://github.com/gerstung-lab/uk_biobank_survival,https://github.com/gerstung-lab/uk_biobank_survival; https://github.com/rrrrrs1/uk_biobank_survival,lineage_gerstung-lab_uk_biobank_survival; lineage_rrrrrs1_uk_biobank_survival,2,2025-11-04-uk-biobank-2,4,unresolved,45761,unresolved,,possible existing-baseline relation but weak public bridge,unresolved,do_not_add,,"The family may relate to an existing baseline application, but public evidence does not establish a direct repo-publication/application or identity chain."
family_keloids-clustering,anirudhj05,Keloids_Clustering,https://github.com/anirudhj05/Keloids_Clustering,https://github.com/anirudhj05/Keloids_Clustering,lineage_anirudhj05_keloids_clustering,1,2026-04-01-uk-biobank-2,2,ambiguous,146079,ambiguous,,topic/institution-only application lead,ambiguous,do_not_add,https://www.ukbiobank.ac.uk/enable-your-research/approved-research/epidemiological-and-genetic-risk-factors-for-keloid-and-hypertrophic-scar,"UKB application 146079 is topically compatible with keloids, but the repository-to-application bridge is insufficient."
family_ukb-atherosclerosis-prediction,OmriGruman,ukb-atherosclerosis-prediction,https://github.com/OmriGruman/ukb-atherosclerosis-prediction,https://github.com/OmriGruman/ukb-atherosclerosis-prediction,lineage_omrigruman_ukb-atherosclerosis-prediction,1,2025-11-07-uk-biobank-2,1,unresolved,,unresolved,,no public application bridge found,unresolved,do_not_add,,"No direct application ID, repository-linked publication, or strong identity evidence was recovered."
family_prs-dash-boxplot-app,NeBruNAI,PRS-dash-boxplot-app,https://github.com/NeBruNAI/PRS-dash-boxplot-app,https://github.com/NeBruNAI/PRS-dash-boxplot-app,lineage_nebrunai_prs-dash-boxplot-app,1,2026-03-27-uk-biobank-4,10,unresolved,29256,unresolved,,weak automated/publication propagation not accepted,unresolved,do_not_add,,The 29256 automated context is not accepted for this repository family; no stronger direct application evidence was recovered.
family_ukb-download-and-prep-template,IFF-0303,ukb_download_and_prep_template,https://github.com/IFF-0303/ukb_download_and_prep_template,https://github.com/IFF-0303/ukb_download_and_prep_template; https://github.com/Jacob-X/ukb_download_and_prep_template; https://github.com/lenamax2355/ukb_download_and_prep_template,lineage_iff-0303_ukb_download_and_prep_template; lineage_jacob-x_ukb_download_and_prep_template; lineage_lenamax2355_ukb_download_and_prep_template,3,2025-11-04-uk-biobank,15,ambiguous,,ambiguous,,template/common-code family with no unique app,ambiguous,do_not_add,,The family contains multiple copied/template repositories and no unique application-level public evidence.
family_ukb-api,batmanlab,ukb_api,https://github.com/batmanlab/ukb_api,https://github.com/batmanlab/ukb_api; https://github.com/tighu20/ukb_api,lineage_batmanlab_ukb_api; lineage_tighu20_ukb_api,2,2025-12-15-uk-biobank,24,unresolved,,unresolved,,generic utility/API repository family,unresolved,do_not_add,,Generic UKB API utility family; no direct application or repo-publication chain was found.
family_ukb-tools,12sbxu,ukb-tools,https://github.com/12sbxu/ukb-tools,https://github.com/12sbxu/ukb-tools; https://github.com/magdazeb/ukb-tools,lineage_12sbxu_ukb-tools; lineage_magdazeb_ukb-tools,2,2025-08-25-ukbiobank-2,30,unresolved,,unresolved,,generic utility repository family,unresolved,do_not_add,,Generic tools family; no unique UKB application could be assigned.
family_ukbiobank-table-conversion,Jiangaoshan,UKBiobank-Table-Conversion,https://github.com/Jiangaoshan/UKBiobank-Table-Conversion,https://github.com/Jiangaoshan/UKBiobank-Table-Conversion; https://github.com/audoushka/UKBiobank-Table-Conversion; https://github.com/futurologist/UKBiobank-Table-Conversion; https://github.com/lizhihao1990/UKBiobank-Table-Conversion,lineage_audoushka_ukbiobank-table-conversion; lineage_futurologist_ukbiobank-table-conversion; lineage_jiangaoshan_ukbiobank-table-conversion; lineage_lizhihao1990_ukbiobank-table-conversion,4,2025-12-09-uk-biobank,4,unresolved,,unresolved,,common table-conversion code family,unresolved,do_not_add,,Table-conversion family has multiple copies and no unique application/publication bridge.
family_jm-gwas,Sandyyy123,JM-GWAS,https://github.com/Sandyyy123/JM-GWAS,https://github.com/Sandyyy123/JM-GWAS; https://github.com/pebblets/JM-GWAS; https://github.com/xiechengyong123/JM-GWAS; https://github.com/zerland/JM-GWAS,lineage_pebblets_jm-gwas; lineage_sandyyy123_jm-gwas; lineage_xiechengyong123_jm-gwas; lineage_zerland_jm-gwas,4,2025-11-13-uk-biobank-8,20,unresolved,,unresolved,,common GWAS code family with no unique app,unresolved,do_not_add,,"Multiple repositories share JM-GWAS material, but public evidence does not identify one UKB application."
family_multi-outcome,Ikram-c,multi_outcome,https://github.com/Ikram-c/multi_outcome,https://github.com/Ikram-c/multi_outcome; https://github.com/mengjiefan/multi_outcome,lineage_ikram-c_multi_outcome; lineage_mengjiefan_multi_outcome,2,2026-04-10-uk-biobank,10,unresolved,,unresolved,,generic multi-outcome analysis family,unresolved,do_not_add,,"No direct application ID, linked paper, or owner identity bridge was recovered."
