lineage_id,candidate_app_id,evidence_class,evidence_type,evidence_value,evidence_source,evidence_url,deterministic_or_fuzzy,strength_level
lineage_12sbxu_ukb-tools,55274,C,data_type,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,55274,C,repo_path_similarity,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,61181,C,data_type,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""tools""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,61181,C,repo_path_similarity,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""tools""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,904780,C,data_type,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,904780,C,repo_path_similarity,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,21988,C,data_type,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""com""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,21988,C,repo_path_similarity,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""com""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,220754,C,data_type,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
lineage_12sbxu_ukb-tools,220754,C,repo_path_similarity,"{""data_types"": [""genotype"", ""hospital_episode_statistics""], ""evidence_class"": ""C"", ""repo_path_tokens"": [""age""]}",postprocess_application_matching,https://github.com/github/dmca/blob/master/2025/08/2025-08-25-ukbiobank-2.md; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/Deathfile.rds; https://github.com/12sbxu/ukb-tools; https://github.com/12sbxu/ukb-tools/blob/master/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/scratchmergedphecode.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedCancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/SelfreportedNoncancer.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_5.rds; https://github.com/12sbxu/ukb-tools/blob/da521e4fbf14e3122b89896b981d946fd51efbe3/Jinhee%20Code/master_6.rds; https://github.com/12sbxu/ukb-tools/blob/48b1556985fcea663a4ebe03dbe943b186687a7d/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5b59c779135573e3861726b112bd1214ea3c144c/master_summary.md; https://github.com/12sbxu/ukb-tools/blob/5ecbbd79ae225cd41c7dfc6ff25ecba7a5e45208/README_person.md; https://github.com/12sbxu/ukb-tools/blob/3eb9a67d753c24319736e911008fac75a6e53716/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f5a78e0223f977601b62f52dd8961bc59073b7d7/README_person.md; https://github.com/12sbxu/ukb-tools/blob/f2128d5a43133f1d15a44019671cf0e9990e1255/README_person.md; https://github.com/12sbxu/ukb-tools/blob/1d4474e679cbd736799e6f82eeaef1e994cd201a/README_person.md; https://raw.githubusercontent.com/12sbxu/ukb-tools/02a38d9389a04cb1442c44d990f8ff02a38ec43e/fid21022_age_at_recruitement.tsv,fuzzy,C
