notice_id,notice_date,notice_path,repo_url,repo_owner,repo_name,repo_status,lineage_id,repo_role,parent_or_source_repo,target_ref,target_commit_sha,offending_file_path,alleged_data_type,first_observed_repo_date,first_observed_offending_commit_date,targeted_commit_author_date,targeted_commit_committer_date,earliest_observed_offending_file_commit_date,earliest_observed_offending_file_commit_sha,earliest_commit_method,removal_or_disable_date,paper_title,doi,pubmed_id,paper_authors,repo_linked_doi,repo_linked_pmid,repo_linked_publication_title,crosswalk_pub_ids,crosswalk_app_ids,crosswalk_application_count,crosswalk_identifier_type,crosswalk_evidence,candidate_app_id,application_title,application_pi,application_institution,application_linked_to_dmca_targeted_repository_lineage,match_grade,match_score,evidence_class,evidence_components,deterministic_evidence_present,identity_evidence_present,contextual_evidence_present,match_reason,evidence_urls,uploader_attribution,manual_review_needed,repo_linked_doi,repo_linked_pmid,repo_linked_publication_title,crosswalk_pub_ids,crosswalk_app_ids,crosswalk_application_count,crosswalk_identifier_type,crosswalk_evidence,evidence_class,evidence_components,deterministic_evidence_present,identity_evidence_present,contextual_evidence_present,offending_file_name,target_scope,targeted_commit_author_name,targeted_commit_author_login,targeted_commit_committer_name,targeted_commit_committer_login,targeted_commit_url,earliest_commit_evidence_url,github_repo_id,github_created_at,github_updated_at,github_pushed_at,github_archived,github_default_branch,github_fork,github_parent,github_source,repository_description,repository_homepage,repository_topics,repo_owner_login,repo_owner_public_name,repo_owner_public_company,citation_metadata_files,repository_readme_urls,citation_metadata_urls,metadata_publication_links,package_metadata_sources,package_metadata_urls,wayback_first_capture,wayback_capture_count,wayback_readme_first_capture,wayback_readme_capture_count,wayback_readme_urls,wayback_readme_fetched_at_utc,lineage_link_method,lineage_link_evidence,lineage_confidence,evidence_file,public_record_metadata_sources,public_record_metadata_urls
2025-09-19-uk-biobank,2025-09-19,2025/09/2025-09-19-uk-biobank.md,https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks,Euskal-Oxcitas-Biotek,UKB-gen-clocks,http_451,lineage_euskal-oxcitas-biotek_ukb-gen-clocks,unknown,,0b5a3ce01bcc3f0d658b9432d0e86c7e3d4288a7,0b5a3ce01bcc3f0d658b9432d0e86c7e3d4288a7,ML-approach/fastsurfer_stats_legacy_vox1_harmonized_demographics_filtered_machine_type_death_record_last_follow_up.csv,genotype; hospital_episode_statistics,,,,,,,,2025-09-19,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/09/2025-09-19-uk-biobank.md; https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks/blob/0b5a3ce01bcc3f0d658b9432d0e86c7e3d4288a7/ML-approach/fastsurfer_stats_legacy_vox1_harmonized_demographics_filtered_machine_type_death_record_last_follow_up.csv; https://github.com/Euskal-Oxcitas-Biotek/UKB-gen-clocks,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,fastsurfer_stats_legacy_vox1_harmonized_demographics_filtered_machine_type_death_record_last_follow_up.csv,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,Euskal-Oxcitas-Biotek/UKB-gen-clocks,medium,evidence/lineages/lineage_euskal-oxcitas-biotek_ukb-gen-clocks.md,,
2025-10-15-uk-biobank-5,2025-10-15,2025/10/2025-10-15-uk-biobank-5.md,https://github.com/adamelkholyy/ukbython,adamelkholyy,ukbython,live,lineage_adamelkholyy_ukbython,unknown,,2ab4599d02e4ce39e730f9da8a64646657a80412,2ab4599d02e4ce39e730f9da8a64646657a80412,main.ipynb,genotype; hospital_episode_statistics,2025-10-16T08:08:28Z,,,,,,,,,,,,,,,,,,,,103356,Understanding the role of rare and common genetic variation in human phenotypes,,University of Exeter,true,confirmed,100.0,A1_DIRECT_APP_ID,direct_application_id,true,false,false,Direct UK Biobank application ID appears in repository/notice evidence.,https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-5.md; https://github.com/adamelkholyy/ukbython/blob/2ab4599d02e4ce39e730f9da8a64646657a80412/main.ipynb; https://github.com/adamelkholyy/ukbython; https://github.com/adamelkholyy/ukbython/blob/main/README.md,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,,,,,,A1_DIRECT_APP_ID,direct_application_id,true,false,false,main.ipynb,single_file,,,,,,,1077412765,2025-10-16T08:08:28Z,2025-10-26T16:21:32Z,2025-10-26T16:21:29Z,false,main,false,,,"ukbython allows for easy phenotype derivation in Python with simple querying, filtering, and data retrieval from the UK Biobank RAP. Features eid and earliest diagnosis date retrieval across all major coding schemas along with fast lookup and retrieval of any field in the database and functionality for custom queries using SQL with PySpark.",https://adamelkholyy.github.io/ukbython/,biobank; genetics; gwas,adamelkholyy,Adam El Kholy,University of Cambridge,,https://github.com/adamelkholyy/ukbython/blob/main/README.md; https://github.com/github/dmca/blob/master/2025/10/2025-10-15-uk-biobank-5.md; https://github.com/adamelkholyy/ukbython/blob/2ab4599d02e4ce39e730f9da8a64646657a80412/main.ipynb; https://github.com/adamelkholyy/ukbython,,,,,,0,,,,,self_repository,adamelkholyy/ukbython,medium,evidence/lineages/lineage_adamelkholyy_ukbython.md,,
2025-11-13-uk-biobank-6,2025-11-13,2025/11/2025-11-13-uk-biobank-6.md,https://github.com/anyajacobs/UKBiobank,anyajacobs,UKBiobank,http_451,lineage_anyajacobs_ukbiobank,unknown,,894734f006b1ff92e2ebc0b65c98f15882765f2f,894734f006b1ff92e2ebc0b65c98f15882765f2f,2_matching.R,genotype; hospital_episode_statistics,,,,,,,,2025-11-13,Strong and graded associations between level of asthma severity and all-cause hospital care use and costs in the UK.,10.1136/bmjresp-2023-002003,38101812,"Jacobs A, Wu R, Tomini F, De Simoni A, Mihaylova B.",10.1136/bmjresp-2023-002003,38101812,Strong and graded associations between level of asthma severity and all-cause hospital care use and costs in the UK.,9167,56757,1,doi; pmid; title,"[{""app_id"": ""56757"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1136/bmjresp-2023-002003"", ""identifier_type"": ""doi"", ""pub_id"": ""9167""}, {""app_id"": ""56757"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""38101812"", ""identifier_type"": ""pmid"", ""pub_id"": ""9167""}, {""app_id"": ""56757"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""strong and graded associations between level of asthma severity and all cause hospital care use and costs in the uk"", ""identifier_type"": ""title"", ""pub_id"": ""9167""}]",56757,Developing chronic disease models to inform health policy and guide treatment decisions,Professor Borislava Mihaylova,University of Oxford,true,confirmed,100.0,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/11/2025-11-13-uk-biobank-6.md; https://github.com/anyajacobs/UKBiobank/blob/894734f006b1ff92e2ebc0b65c98f15882765f2f/2_matching.R; https://github.com/anyajacobs/UKBiobank; https://europepmc.org/article/MED/38101812,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,10.1136/bmjresp-2023-002003,38101812,Strong and graded associations between level of asthma severity and all-cause hospital care use and costs in the UK.,9167,56757,1,doi; pmid; title,"[{""app_id"": ""56757"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1136/bmjresp-2023-002003"", ""identifier_type"": ""doi"", ""pub_id"": ""9167""}, {""app_id"": ""56757"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""38101812"", ""identifier_type"": ""pmid"", ""pub_id"": ""9167""}, {""app_id"": ""56757"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""strong and graded associations between level of asthma severity and all cause hospital care use and costs in the uk"", ""identifier_type"": ""title"", ""pub_id"": ""9167""}]",A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,2_matching.R,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,anyajacobs/UKBiobank,medium,evidence/lineages/lineage_anyajacobs_ukbiobank.md,europepmc_exact_repo_url,https://europepmc.org/article/MED/38101812
2025-12-02-uk-biobank,2025-12-02,2025/12/2025-12-02-uk-biobank.md,https://github.com/yayapa/ukbb_risk,yayapa,ukbb_risk,live,lineage_yayapa_ukbb_risk,unknown,,0f63774a07eee849cfa9e9b18a7550270fcf30df,0f63774a07eee849cfa9e9b18a7550270fcf30df,analysisNumericFeatures/total_radiomics.ipynb,genotype; hospital_episode_statistics,2025-01-22T15:57:55Z,,,,,,,,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""; AI-driven preclinical disease risk assessment using imaging in UK biobank.",10.1038/s41746-025-01771-3,40715621,"Seletkov D, Starck S, Mueller TT, Zhang Y, Steinhelfer L, Rueckert D, Braren R.",10.1038/s41746-025-01771-3,40715621,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""",16098,87802,1,doi; pmid; title,"[{""app_id"": ""87802"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1038/s41746-025-01771-3"", ""identifier_type"": ""doi"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""40715621"", ""identifier_type"": ""pmid"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""ai driven preclinical disease risk assessment using imaging in uk biobank"", ""identifier_type"": ""title"", ""pub_id"": ""16098""}]",87802,Assessment of frailty and biological age using multi-modal deep learning,,Imperial College London,true,confirmed,100.0,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-02-uk-biobank.md; https://github.com/yayapa/ukbb_risk/blob/0f63774a07eee849cfa9e9b18a7550270fcf30df/analysisNumericFeatures/total_radiomics.ipynb; https://github.com/yayapa/ukbb_risk; https://github.com/yayapa/ukbb_risk/blob/main/README.md; https://europepmc.org/article/MED/40715621,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,10.1038/s41746-025-01771-3,40715621,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""",16098,87802,1,doi; pmid; title,"[{""app_id"": ""87802"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1038/s41746-025-01771-3"", ""identifier_type"": ""doi"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""40715621"", ""identifier_type"": ""pmid"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""ai driven preclinical disease risk assessment using imaging in uk biobank"", ""identifier_type"": ""title"", ""pub_id"": ""16098""}]",A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,total_radiomics.ipynb,single_file,,,,,,,920692396,2025-01-22T15:57:55Z,2026-06-20T12:34:21Z,2026-06-20T12:34:17Z,false,main,false,,,,,,yayapa,Dmitrii Seletkov,,,https://github.com/yayapa/ukbb_risk/blob/main/README.md; https://github.com/github/dmca/blob/master/2025/12/2025-12-02-uk-biobank.md; https://github.com/yayapa/ukbb_risk/blob/0f63774a07eee849cfa9e9b18a7550270fcf30df/analysisNumericFeatures/total_radiomics.ipynb; https://github.com/yayapa/ukbb_risk; https://europepmc.org/article/MED/40715621,,,,,,0,,,,,self_repository,yayapa/ukbb_risk,medium,evidence/lineages/lineage_yayapa_ukbb_risk.md,europepmc_exact_repo_url,https://europepmc.org/article/MED/40715621
2025-12-02-uk-biobank,2025-12-02,2025/12/2025-12-02-uk-biobank.md,https://github.com/yayapa/ukbb_risk,yayapa,ukbb_risk,live,lineage_yayapa_ukbb_risk,unknown,,0f63774a07eee849cfa9e9b18a7550270fcf30df,0f63774a07eee849cfa9e9b18a7550270fcf30df,analysisNumericFeatures/analysisNumericFeaturesTogether.ipynb,genotype; hospital_episode_statistics,2025-01-22T15:57:55Z,,,,,,,,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""; AI-driven preclinical disease risk assessment using imaging in UK biobank.",10.1038/s41746-025-01771-3,40715621,"Seletkov D, Starck S, Mueller TT, Zhang Y, Steinhelfer L, Rueckert D, Braren R.",10.1038/s41746-025-01771-3,40715621,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""",16098,87802,1,doi; pmid; title,"[{""app_id"": ""87802"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1038/s41746-025-01771-3"", ""identifier_type"": ""doi"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""40715621"", ""identifier_type"": ""pmid"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""ai driven preclinical disease risk assessment using imaging in uk biobank"", ""identifier_type"": ""title"", ""pub_id"": ""16098""}]",87802,Assessment of frailty and biological age using multi-modal deep learning,,Imperial College London,true,confirmed,100.0,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-02-uk-biobank.md; https://github.com/yayapa/ukbb_risk/blob/0f63774a07eee849cfa9e9b18a7550270fcf30df/analysisNumericFeatures/analysisNumericFeaturesTogether.ipynb; https://github.com/yayapa/ukbb_risk; https://github.com/yayapa/ukbb_risk/blob/main/README.md; https://europepmc.org/article/MED/40715621,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,10.1038/s41746-025-01771-3,40715621,"Code to the paper ""AI-driven Preclinical Disease Risk Assessment Using Imaging in UK Biobank""",16098,87802,1,doi; pmid; title,"[{""app_id"": ""87802"", ""evidence_class"": ""A2_DOI_UKB_CROSSWALK"", ""identifier"": ""10.1038/s41746-025-01771-3"", ""identifier_type"": ""doi"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A3_PMID_UKB_CROSSWALK"", ""identifier"": ""40715621"", ""identifier_type"": ""pmid"", ""pub_id"": ""16098""}, {""app_id"": ""87802"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""ai driven preclinical disease risk assessment using imaging in uk biobank"", ""identifier_type"": ""title"", ""pub_id"": ""16098""}]",A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A2_DOI_UKB_CROSSWALK; A3_PMID_UKB_CROSSWALK; A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,analysisNumericFeaturesTogether.ipynb,single_file,,,,,,,920692396,2025-01-22T15:57:55Z,2026-06-20T12:34:21Z,2026-06-20T12:34:17Z,false,main,false,,,,,,yayapa,Dmitrii Seletkov,,,https://github.com/yayapa/ukbb_risk/blob/main/README.md; https://github.com/github/dmca/blob/master/2025/12/2025-12-02-uk-biobank.md; https://github.com/yayapa/ukbb_risk/blob/0f63774a07eee849cfa9e9b18a7550270fcf30df/analysisNumericFeatures/analysisNumericFeaturesTogether.ipynb; https://github.com/yayapa/ukbb_risk; https://europepmc.org/article/MED/40715621,,,,,,0,,,,,self_repository,yayapa/ukbb_risk,medium,evidence/lineages/lineage_yayapa_ukbb_risk.md,europepmc_exact_repo_url,https://europepmc.org/article/MED/40715621
2025-12-08-uk-biobank-4,2025-12-08,2025/12/2025-12-08-uk-biobank-4.md,https://github.com/ghm17/Epi-PRS,ghm17,Epi-PRS,http_451,lineage_ghm17_epi-prs,unknown,,e9493d5ac61e4dee3a8189731bc870ba91139426,e9493d5ac61e4dee3a8189731bc870ba91139426,breast/breast_test_case_id.txt,genotype; hospital_episode_statistics,,,,,,,,2025-12-08,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-08-uk-biobank-4.md; https://github.com/ghm17/Epi-PRS/blob/e9493d5ac61e4dee3a8189731bc870ba91139426/breast/breast_test_case_id.txt; https://github.com/ghm17/Epi-PRS,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,breast_test_case_id.txt,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,ghm17/Epi-PRS,medium,evidence/lineages/lineage_ghm17_epi-prs.md,,
2025-12-08-uk-biobank-4,2025-12-08,2025/12/2025-12-08-uk-biobank-4.md,https://github.com/ghm17/Epi-PRS,ghm17,Epi-PRS,http_451,lineage_ghm17_epi-prs,unknown,,e9493d5ac61e4dee3a8189731bc870ba91139426,e9493d5ac61e4dee3a8189731bc870ba91139426,breast/breast_test_control_id.txt,genotype; hospital_episode_statistics,,,,,,,,2025-12-08,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-08-uk-biobank-4.md; https://github.com/ghm17/Epi-PRS/blob/e9493d5ac61e4dee3a8189731bc870ba91139426/breast/breast_test_control_id.txt; https://github.com/ghm17/Epi-PRS,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,breast_test_control_id.txt,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,ghm17/Epi-PRS,medium,evidence/lineages/lineage_ghm17_epi-prs.md,,
2025-12-08-uk-biobank-4,2025-12-08,2025/12/2025-12-08-uk-biobank-4.md,https://github.com/ghm17/Epi-PRS,ghm17,Epi-PRS,http_451,lineage_ghm17_epi-prs,unknown,,e9493d5ac61e4dee3a8189731bc870ba91139426,e9493d5ac61e4dee3a8189731bc870ba91139426,breast/breast_train_case_id.txt,genotype; hospital_episode_statistics,,,,,,,,2025-12-08,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-08-uk-biobank-4.md; https://github.com/ghm17/Epi-PRS/blob/e9493d5ac61e4dee3a8189731bc870ba91139426/breast/breast_train_case_id.txt; https://github.com/ghm17/Epi-PRS,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,breast_train_case_id.txt,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,ghm17/Epi-PRS,medium,evidence/lineages/lineage_ghm17_epi-prs.md,,
2025-12-08-uk-biobank-4,2025-12-08,2025/12/2025-12-08-uk-biobank-4.md,https://github.com/ghm17/Epi-PRS,ghm17,Epi-PRS,http_451,lineage_ghm17_epi-prs,unknown,,e9493d5ac61e4dee3a8189731bc870ba91139426,e9493d5ac61e4dee3a8189731bc870ba91139426,breast/breast_train_control_id.txt,genotype; hospital_episode_statistics,,,,,,,,2025-12-08,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-08-uk-biobank-4.md; https://github.com/ghm17/Epi-PRS/blob/e9493d5ac61e4dee3a8189731bc870ba91139426/breast/breast_train_control_id.txt; https://github.com/ghm17/Epi-PRS,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,breast_train_control_id.txt,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,ghm17/Epi-PRS,medium,evidence/lineages/lineage_ghm17_epi-prs.md,,
2025-12-08-uk-biobank-4,2025-12-08,2025/12/2025-12-08-uk-biobank-4.md,https://github.com/ghm17/Epi-PRS,ghm17,Epi-PRS,http_451,lineage_ghm17_epi-prs,unknown,,e9493d5ac61e4dee3a8189731bc870ba91139426,e9493d5ac61e4dee3a8189731bc870ba91139426,diabetes/diabetes_test_case_id.txt,genotype; hospital_episode_statistics,,,,,,,,2025-12-08,,,,,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",29256,Study of gene-environment interaction and Mendelian randomization of obesity and cardiometabolic risk,Dr Lu Qi,Tulane University,true,confirmed,100.0,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,Unique repository-linked DOI/PMID maps through UKB Schema 19/24 to one application.,https://github.com/github/dmca/blob/master/2025/12/2025-12-08-uk-biobank-4.md; https://github.com/ghm17/Epi-PRS/blob/e9493d5ac61e4dee3a8189731bc870ba91139426/diabetes/diabetes_test_case_id.txt; https://github.com/ghm17/Epi-PRS,target repository owner/uploader only; not attributed to the UKB application team without independent evidence,false,,,,5930,29256,1,title,"[{""app_id"": ""29256"", ""evidence_class"": ""A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN"", ""identifier"": ""type 2 diabetes and hypertension"", ""identifier_type"": ""title"", ""pub_id"": ""5930""}]",A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN,A4_EXACT_REPO_PUBLICATION_APPLICATION_CHAIN; exact_publication_identifier,true,false,false,diabetes_test_case_id.txt,single_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,self_repository,ghm17/Epi-PRS,medium,evidence/lineages/lineage_ghm17_epi-prs.md,,
